date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason
2025-08-28,17:30:00,Thursday,Buy,3418.17,3404.17,14.0,961.16,68.65,217,End of Data
2025-08-28,21:30:00,Thursday,Sell,3415.68,3423.29,7.61,11.44,1.5,4,Stop Loss
2025-08-29,01:30:00,Friday,Sell,3409.67,3417.98,8.31,5.43,SL,3,Stop Loss
2025-08-29,05:30:00,Friday,Buy,3410.49,3406.65,3.84,4.39,1.14,1,Stop Loss
2025-08-29,09:30:00,Friday,Sell,3407.18,3415.08,7.9,2.94,SL,1,Stop Loss
2025-08-29,13:30:00,Friday,Buy,3428.63,3404.04,24.59,950.7,38.66,212,End of Data
2025-08-29,17:30:00,Friday,Buy,3443.89,3428.23,15.66,935.44,59.73,211,End of Data
2025-08-29,21:30:00,Friday,Buy,3449.57,3440.63,8.94,9.49,1.06,1,Stop Loss
2025-09-01,01:30:00,Monday,Buy,3457.45,3436.69,20.76,921.88,44.41,209,End of Data
2025-09-01,05:30:00,Monday,Buy,3477.46,3454.85,22.61,901.87,39.89,208,End of Data
2025-09-01,09:30:00,Monday,Sell,3469.07,3490.02,20.95,3.01,SL,4,Stop Loss
2025-09-01,13:30:00,Monday,Buy,3475.44,3465.86,9.58,903.89,94.35,206,End of Data
2025-09-01,17:30:00,Monday,Buy,3478.07,3471.98,6.09,30.3,4.98,4,Stop Loss
2025-09-01,21:30:00,Monday,Sell,3475.99,3478.17,2.18,1.98,SL,1,Stop Loss
2025-09-02,01:30:00,Tuesday,Buy,3497.76,3473.81,23.95,2.87,SL,2,Stop Loss
2025-09-02,05:30:00,Tuesday,Sell,3492.96,3500.83,7.87,23.06,2.93,3,Stop Loss
2025-09-02,09:30:00,Tuesday,Sell,3476.57,3496.01,19.44,2.2,SL,2,Stop Loss
2025-09-02,13:30:00,Tuesday,Buy,3488.77,3474.17,14.6,890.56,61.0,200,End of Data
2025-09-02,17:30:00,Tuesday,Buy,3529.48,3487.82,41.66,849.85,20.4,199,End of Data
2025-09-02,21:30:00,Tuesday,Buy,3532.46,3525.0,7.46,46.0,6.17,8,Stop Loss
2025-09-03,01:30:00,Wednesday,Buy,3538.99,3526.04,12.95,39.47,3.05,7,Stop Loss
2025-09-03,05:30:00,Wednesday,Sell,3529.79,3546.1,16.31,0.78,SL,2,Stop Loss
2025-09-03,09:30:00,Wednesday,Buy,3534.4,3528.81,5.59,44.06,7.88,5,Stop Loss
2025-09-03,13:30:00,Wednesday,Buy,3552.9,3532.02,20.88,25.56,1.22,4,Stop Loss
2025-09-03,17:30:00,Wednesday,Buy,3574.5,3551.41,23.09,3.96,SL,2,Stop Loss
2025-09-03,21:30:00,Wednesday,Sell,3558.25,3578.66,20.41,47.14,2.31,10,Stop Loss
2025-09-04,01:30:00,Thursday,Sell,3546.09,3564.18,18.09,34.98,1.93,9,Stop Loss
2025-09-04,05:30:00,Thursday,Sell,3527.02,3550.7,23.68,2.69,SL,2,Stop Loss
2025-09-04,09:30:00,Thursday,Buy,3538.85,3524.13,14.72,840.48,57.1,189,End of Data
2025-09-04,13:30:00,Thursday,Buy,3546.29,3536.35,9.94,9.93,SL,1,Stop Loss
2025-09-04,17:30:00,Thursday,Sell,3542.56,3556.42,13.86,2.61,SL,2,Stop Loss
2025-09-04,21:30:00,Thursday,Buy,3545.7,3542.47,3.23,10.82,3.35,1,Stop Loss
2025-09-05,01:30:00,Friday,Buy,3552.57,3539.75,12.82,826.76,64.49,185,End of Data
2025-09-05,05:30:00,Friday,Buy,3557.76,3545.67,12.09,0.13,SL,1,Stop Loss
2025-09-05,09:30:00,Friday,Sell,3552.18,3558.09,5.91,4.38,SL,1,Stop Loss
2025-09-05,13:30:00,Friday,Buy,3594.84,3547.6,47.24,784.49,16.61,182,End of Data
2025-09-05,17:30:00,Friday,Buy,3596.52,3573.42,23.1,782.81,33.89,181,End of Data
2025-09-05,21:30:00,Friday,Sell,3589.67,3597.38,7.71,10.07,1.31,3,Stop Loss
2025-09-08,01:30:00,Monday,Sell,3589.23,3597.31,8.08,9.63,1.19,2,Stop Loss
2025-09-08,05:30:00,Monday,Buy,3591.39,3579.4,11.99,787.94,65.72,178,End of Data
2025-09-08,09:30:00,Monday,Buy,3613.9,3589.05,24.85,765.43,30.8,177,End of Data
2025-09-08,13:30:00,Monday,Buy,3633.43,3612.47,20.96,40.98,1.96,18,Stop Loss
2025-09-08,17:30:00,Monday,Buy,3633.62,3628.62,5.0,13.83,2.77,2,Stop Loss
2025-09-08,21:30:00,Monday,Buy,3635.12,3631.56,3.56,12.33,3.46,1,Stop Loss
2025-09-09,01:30:00,Tuesday,Buy,3646.54,3628.12,18.42,27.87,1.51,4,Stop Loss
2025-09-09,05:30:00,Tuesday,Buy,3655.19,3642.65,12.54,1.52,SL,1,Stop Loss
2025-09-09,09:30:00,Tuesday,Sell,3653.33,3656.91,3.58,9.69,2.71,1,Stop Loss
2025-09-09,13:30:00,Tuesday,Buy,3666.28,3643.44,22.84,8.13,SL,1,Stop Loss
2025-09-09,17:30:00,Tuesday,Sell,3642.43,3674.61,32.18,30.16,SL,24,Stop Loss
2025-09-09,21:30:00,Tuesday,Sell,3624.45,3645.28,20.83,4.14,SL,2,Stop Loss
2025-09-10,01:30:00,Wednesday,Buy,3630.75,3620.11,10.64,26.7,2.51,8,Stop Loss
2025-09-10,05:30:00,Wednesday,Buy,3643.05,3629.79,13.26,14.4,1.09,6,Stop Loss
2025-09-10,09:30:00,Wednesday,Buy,3655.42,3640.44,14.98,2.03,SL,1,Stop Loss
2025-09-10,13:30:00,Wednesday,Sell,3650.97,3657.65,6.68,38.7,5.79,18,Stop Loss
2025-09-10,17:30:00,Wednesday,Sell,3647.23,3655.59,8.36,34.96,4.18,9,Stop Loss
2025-09-10,21:30:00,Wednesday,Sell,3639.77,3649.8,10.03,27.5,2.74,8,Stop Loss
2025-09-11,01:30:00,Thursday,Buy,3641.13,3637.79,3.34,2.24,SL,1,Stop Loss
2025-09-11,05:30:00,Thursday,Sell,3624.84,3643.57,18.73,12.57,SL,2,Stop Loss
2025-09-11,09:30:00,Thursday,Sell,3621.62,3638.15,16.53,9.35,SL,1,Stop Loss
2025-09-11,13:30:00,Thursday,Buy,3630.36,3612.07,18.29,748.97,40.95,158,End of Data
2025-09-11,17:30:00,Thursday,Buy,3635.07,3625.92,9.15,744.26,81.34,157,End of Data
2025-09-11,21:30:00,Thursday,Sell,3633.2,3637.83,4.63,2.78,SL,1,Stop Loss
2025-09-12,01:30:00,Friday,Buy,3646.43,3630.22,16.21,10.13,SL,6,Stop Loss
2025-09-12,05:30:00,Friday,Buy,3653.25,3644.65,8.6,0.78,SL,1,Stop Loss
2025-09-12,09:30:00,Friday,Sell,3646.12,3654.23,8.11,19.69,2.43,7,Stop Loss
2025-09-12,13:30:00,Friday,Buy,3650.22,3638.02,12.2,4.0,SL,3,Stop Loss
2025-09-12,17:30:00,Friday,Sell,3648.42,3654.42,6.0,21.99,3.67,5,Stop Loss
2025-09-12,21:30:00,Friday,Sell,3642.1,3649.65,7.55,15.67,2.08,4,Stop Loss
2025-09-15,01:30:00,Monday,Sell,3634.22,3646.45,12.23,0.0,SL,1,Stop Loss
2025-09-15,05:30:00,Monday,Buy,3643.74,3634.04,9.7,2.21,SL,1,Stop Loss
2025-09-15,09:30:00,Monday,Sell,3640.98,3646.15,5.17,4.14,SL,1,Stop Loss
2025-09-15,13:30:00,Monday,Buy,3657.29,3636.64,20.65,50.1,2.43,17,Stop Loss
2025-09-15,17:30:00,Monday,Buy,3681.9,3653.64,28.26,25.49,SL,13,Stop Loss
2025-09-15,21:30:00,Monday,Sell,3677.63,3682.9,5.27,1.64,SL,1,Stop Loss
2025-09-16,01:30:00,Tuesday,Buy,3679.36,3675.79,3.57,5.9,1.65,1,Stop Loss
2025-09-16,05:30:00,Tuesday,Buy,3682.72,3674.39,8.33,20.16,2.42,7,Stop Loss
2025-09-16,09:30:00,Tuesday,Buy,3698.36,3681.35,17.01,4.52,SL,2,Stop Loss
2025-09-16,13:30:00,Tuesday,Sell,3695.31,3699.62,4.31,16.6,3.85,1,Stop Loss
2025-09-16,17:30:00,Tuesday,Sell,3687.47,3703.08,15.61,41.32,2.65,7,Stop Loss
2025-09-16,21:30:00,Tuesday,Buy,3688.79,3686.18,2.61,6.48,2.48,1,Stop Loss
2025-09-17,01:30:00,Wednesday,Sell,3679.19,3695.47,16.28,33.04,2.03,5,Stop Loss
2025-09-17,05:30:00,Wednesday,Sell,3678.9,3686.05,7.15,18.94,2.65,3,Stop Loss
2025-09-17,09:30:00,Wednesday,Sell,3667.58,3680.21,12.63,7.62,SL,1,Stop Loss
2025-09-17,13:30:00,Wednesday,Buy,3678.92,3659.76,19.16,28.47,1.49,2,Stop Loss
2025-09-17,17:30:00,Wednesday,Buy,3686.56,3676.63,9.93,20.83,2.1,1,Stop Loss
2025-09-17,21:30:00,Wednesday,Sell,3658.51,3707.59,49.08,30.62,SL,15,Stop Loss
2025-09-18,01:30:00,Thursday,Sell,3656.8,3672.09,15.29,22.94,1.5,2,Stop Loss
2025-09-18,05:30:00,Thursday,Sell,3651.27,3666.2,14.93,17.41,1.17,1,Stop Loss
2025-09-18,09:30:00,Thursday,Buy,3671.91,3633.66,38.25,0.53,SL,1,Stop Loss
2025-09-18,13:30:00,Thursday,Sell,3641.86,3672.64,30.78,9.66,SL,7,Stop Loss
2025-09-18,17:30:00,Thursday,Buy,3643.71,3633.99,9.72,7.52,SL,2,Stop Loss
2025-09-18,21:30:00,Thursday,Buy,3644.22,3640.34,3.88,7.01,1.81,1,Stop Loss
2025-09-19,01:30:00,Friday,Sell,3639.53,3651.43,11.9,0.73,SL,1,Stop Loss
2025-09-19,05:30:00,Friday,Buy,3652.51,3638.6,13.91,726.82,52.25,124,End of Data
2025-09-19,09:30:00,Friday,Buy,3658.68,3643.07,15.61,720.65,46.17,123,End of Data
2025-09-19,13:30:00,Friday,Buy,3663.46,3643.36,20.1,715.87,35.62,122,End of Data
2025-09-19,17:30:00,Friday,Buy,3678.71,3656.12,22.59,700.62,31.01,121,End of Data
