date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason
2020-02-27,14:30:00,Thursday,Buy,1653.0,1645.73,7.27,7.3,1.0,1,Stop Loss
2020-11-26,06:30:00,Thursday,Buy,1812.29,1806.4,5.89,5.89,1.0,2,Stop Loss
2017-04-20,06:30:00,Thursday,Buy,1279.55,1277.05,2.5,2.5,1.0,1,Stop Loss
2024-02-08,18:30:00,Thursday,Buy,2032.21,2027.3,4.91,4.93,1.0,5,Stop Loss
2010-06-17,06:30:00,Thursday,Buy,1233.25,1231.6,1.65,1.65,1.0,1,Stop Loss
2025-08-21,21:30:00,Thursday,Buy,3338.44,3336.26,2.18,2.21,1.01,1,Stop Loss
2024-12-26,14:30:00,Thursday,Buy,2630.09,2621.35,8.74,8.86,1.01,6,Stop Loss
2019-02-07,18:30:00,Thursday,Buy,1310.73,1306.0,4.73,4.8,1.01,11,Stop Loss
2013-11-14,14:30:00,Thursday,Buy,1286.0,1277.82,8.18,8.25,1.01,12,Stop Loss
2016-06-23,02:30:00,Thursday,Buy,1265.43,1259.03,6.4,6.45,1.01,3,Stop Loss
2022-01-13,18:30:00,Thursday,Buy,1820.45,1812.01,8.44,8.55,1.01,16,Stop Loss
2015-11-19,02:30:00,Thursday,Buy,1076.74,1069.58,7.16,7.2,1.01,3,Stop Loss
2010-05-13,14:30:00,Thursday,Buy,1237.24,1231.54,5.7,5.75,1.01,1,Stop Loss
2020-12-10,22:30:00,Thursday,Buy,1835.98,1831.44,4.54,4.62,1.02,3,Stop Loss
2018-09-20,14:30:00,Thursday,Buy,1206.36,1201.87,4.49,4.6,1.02,6,Stop Loss
2018-08-30,10:30:00,Thursday,Buy,1203.47,1200.31,3.16,3.22,1.02,1,Stop Loss
2012-05-10,02:30:00,Thursday,Buy,1592.45,1587.95,4.5,4.6,1.02,2,Stop Loss
2018-05-03,10:30:00,Thursday,Buy,1312.45,1306.17,6.28,6.39,1.02,19,Stop Loss
2010-08-26,06:30:00,Thursday,Buy,1241.4,1238.65,2.75,2.8,1.02,2,Stop Loss
2019-11-28,02:30:00,Thursday,Buy,1456.53,1453.96,2.57,2.62,1.02,8,Stop Loss
2013-11-14,02:30:00,Thursday,Buy,1284.76,1280.39,4.37,4.44,1.02,3,Stop Loss
2012-07-26,14:30:00,Thursday,Buy,1615.35,1601.6,13.75,14.15,1.03,24,Stop Loss
2017-10-19,17:30:00,Thursday,Buy,1288.13,1285.39,2.74,2.83,1.03,2,Stop Loss
2011-09-22,21:30:00,Thursday,Buy,1740.1,1725.55,14.55,15.15,1.04,2,Stop Loss
2020-08-20,22:30:00,Thursday,Buy,1946.39,1937.33,9.06,9.45,1.04,3,Stop Loss
2020-04-16,14:30:00,Thursday,Buy,1725.15,1716.67,8.48,8.81,1.04,1,Stop Loss
2012-12-13,18:30:00,Thursday,Buy,1696.1,1692.0,4.1,4.28,1.04,8,Stop Loss
