date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason
2021-05-25,18:30:00,Tuesday,Buy,1898.14,1883.73,14.41,14.48,1.0,17,Stop Loss
2025-02-18,22:30:00,Tuesday,Buy,2935.58,2931.66,3.92,3.97,1.01,1,Stop Loss
2021-07-20,02:30:00,Tuesday,Buy,1817.63,1810.37,7.26,7.3,1.01,4,Stop Loss
2019-07-30,10:30:00,Tuesday,Buy,1428.42,1422.55,5.87,5.93,1.01,8,Stop Loss
2025-08-12,01:30:00,Tuesday,Buy,3349.94,3341.97,7.97,8.07,1.01,3,Stop Loss
2021-06-08,18:30:00,Tuesday,Buy,1892.72,1886.63,6.09,6.17,1.01,8,Stop Loss
2015-08-18,06:30:00,Tuesday,Buy,1119.09,1117.11,1.98,2.0,1.01,2,Stop Loss
2012-10-02,09:30:00,Tuesday,Buy,1779.56,1774.9,4.66,4.69,1.01,1,Stop Loss
2017-08-29,10:30:00,Tuesday,Buy,1320.2,1316.29,3.91,3.93,1.01,2,Stop Loss
2018-03-27,18:30:00,Tuesday,Buy,1343.73,1340.57,3.16,3.22,1.02,4,Stop Loss
2021-10-12,05:30:00,Tuesday,Buy,1761.85,1755.3,6.55,6.68,1.02,2,Stop Loss
2019-03-26,18:30:00,Tuesday,Buy,1315.74,1313.08,2.66,2.7,1.02,4,Stop Loss
2015-12-01,18:30:00,Tuesday,Buy,1067.43,1063.48,3.95,4.03,1.02,5,Stop Loss
2012-09-18,22:30:00,Tuesday,Buy,1771.95,1764.76,7.19,7.35,1.02,4,Stop Loss
2014-02-25,06:30:00,Tuesday,Buy,1334.83,1332.04,2.79,2.84,1.02,1,Stop Loss
2023-06-27,21:30:00,Tuesday,Buy,1913.81,1910.55,3.26,3.34,1.02,3,Stop Loss
2021-11-09,06:30:00,Tuesday,Buy,1824.07,1821.57,2.5,2.54,1.02,1,Stop Loss
2019-02-19,18:30:00,Tuesday,Buy,1340.25,1334.1,6.15,6.36,1.03,10,Stop Loss
2009-04-14,02:30:00,Tuesday,Buy,895.3,892.2,3.1,3.18,1.03,3,Stop Loss
2016-07-19,10:30:00,Tuesday,Buy,1332.31,1326.4,5.91,6.1,1.03,6,Stop Loss
2022-02-22,06:30:00,Tuesday,Buy,1910.02,1906.9,3.12,3.22,1.03,1,Stop Loss
2018-04-24,10:30:00,Tuesday,Buy,1327.07,1324.22,2.85,2.94,1.03,1,Stop Loss
2023-11-14,22:30:00,Tuesday,Buy,1963.22,1962.0,1.22,1.27,1.04,1,Stop Loss
2012-08-07,10:30:00,Tuesday,Buy,1613.55,1609.0,4.55,4.75,1.04,3,Stop Loss
2018-01-23,06:30:00,Tuesday,Buy,1336.75,1334.85,1.9,1.98,1.04,2,Stop Loss
2009-09-29,01:30:00,Tuesday,Buy,991.2,988.79,2.41,2.5,1.04,3,Stop Loss
2015-01-20,10:30:00,Tuesday,Buy,1291.3,1275.73,15.57,16.19,1.04,25,Stop Loss
2016-04-19,14:30:00,Tuesday,Buy,1255.01,1240.5,14.51,15.12,1.04,18,Stop Loss
2010-04-13,18:30:00,Tuesday,Buy,1153.05,1144.64,8.41,8.75,1.04,18,Stop Loss
2021-07-13,22:30:00,Tuesday,Buy,1807.56,1804.9,2.66,2.78,1.05,1,Stop Loss
2019-01-08,10:30:00,Tuesday,Buy,1283.64,1281.35,2.29,2.4,1.05,1,Stop Loss
2021-07-27,18:30:00,Tuesday,Buy,1801.8,1794.27,7.53,7.9,1.05,7,Stop Loss
2021-02-09,22:30:00,Tuesday,Buy,1838.28,1834.42,3.86,4.06,1.05,1,Stop Loss
2020-10-06,05:30:00,Tuesday,Buy,1911.06,1907.89,3.17,3.33,1.05,1,Stop Loss
2024-02-06,18:30:00,Tuesday,Buy,2036.69,2029.3,7.39,7.76,1.05,10,Stop Loss
2023-03-14,13:30:00,Tuesday,Buy,1902.42,1895.08,7.34,7.81,1.06,5,Stop Loss
