date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason
2018-02-01,06:30:00,Thursday,Sell,1341.26,1345.35,4.09,4.1,1.0,3,Stop Loss
2023-03-02,02:30:00,Thursday,Sell,1834.19,1838.52,4.33,4.34,1.0,4,Stop Loss
2022-01-27,18:30:00,Thursday,Sell,1793.95,1807.68,13.73,13.77,1.0,17,Stop Loss
2013-07-11,10:30:00,Thursday,Sell,1283.36,1298.95,15.59,15.66,1.0,25,Stop Loss
2015-11-19,10:30:00,Thursday,Sell,1073.66,1077.98,4.32,4.33,1.0,1,Stop Loss
2017-07-20,10:30:00,Thursday,Sell,1237.64,1240.12,2.48,2.5,1.01,1,Stop Loss
2018-12-27,06:30:00,Thursday,Sell,1268.47,1270.38,1.91,1.92,1.01,1,Stop Loss
2010-06-03,18:30:00,Thursday,Sell,1208.3,1220.1,11.8,11.9,1.01,12,Stop Loss
2019-02-14,10:30:00,Thursday,Sell,1306.03,1309.88,3.85,3.87,1.01,1,Stop Loss
2017-03-23,22:30:00,Thursday,Sell,1244.64,1248.37,3.73,3.77,1.01,5,Stop Loss
2010-12-02,10:30:00,Thursday,Sell,1389.67,1395.09,5.42,5.54,1.02,2,Stop Loss
2019-05-30,06:30:00,Thursday,Sell,1276.82,1278.68,1.86,1.9,1.02,2,Stop Loss
2014-01-02,10:30:00,Thursday,Sell,1221.02,1228.71,7.69,7.85,1.02,2,Stop Loss
2014-09-04,22:30:00,Thursday,Sell,1261.43,1265.58,4.15,4.28,1.03,4,Stop Loss
2018-03-01,14:30:00,Thursday,Sell,1307.2,1311.59,4.39,4.52,1.03,1,Stop Loss
2024-11-28,22:30:00,Thursday,Sell,2637.11,2640.23,3.12,3.2,1.03,1,Stop Loss
2012-06-21,18:30:00,Thursday,Sell,1568.81,1589.15,20.34,20.95,1.03,35,Stop Loss
2010-04-29,14:30:00,Thursday,Sell,1166.54,1171.19,4.65,4.8,1.03,3,Stop Loss
2014-04-10,22:30:00,Thursday,Sell,1318.31,1320.18,1.87,1.92,1.03,1,Stop Loss
2011-06-16,10:30:00,Thursday,Sell,1525.12,1528.7,3.58,3.67,1.03,1,Stop Loss
