date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason
2013-03-26,10:30:00,Tuesday,Sell,1597.55,1603.74,6.19,6.22,1.0,8,Stop Loss
2013-12-24,06:30:00,Tuesday,Sell,1197.95,1199.82,1.87,1.87,1.0,1,Stop Loss
2009-04-07,10:30:00,Tuesday,Sell,877.05,880.6,3.55,3.6,1.01,1,Stop Loss
2016-02-09,22:30:00,Tuesday,Sell,1188.59,1195.71,7.12,7.2,1.01,6,Stop Loss
2016-01-05,22:30:00,Tuesday,Sell,1076.98,1079.1,2.12,2.14,1.01,2,Stop Loss
2017-10-10,17:30:00,Tuesday,Sell,1289.24,1294.33,5.09,5.12,1.01,9,Stop Loss
2015-05-26,14:30:00,Tuesday,Sell,1188.23,1196.27,8.04,8.11,1.01,21,Stop Loss
2014-12-02,10:30:00,Tuesday,Sell,1200.3,1208.69,8.39,8.49,1.01,8,Stop Loss
2018-05-22,02:30:00,Tuesday,Sell,1290.7,1293.52,2.82,2.88,1.02,2,Stop Loss
2016-01-12,06:30:00,Tuesday,Sell,1094.07,1098.17,4.1,4.18,1.02,1,Stop Loss
2021-05-18,14:30:00,Tuesday,Sell,1863.69,1875.07,11.38,11.64,1.02,6,Stop Loss
2018-07-31,10:30:00,Tuesday,Sell,1218.33,1222.69,4.36,4.47,1.03,1,Stop Loss
2017-03-14,09:30:00,Tuesday,Sell,1202.89,1204.04,1.15,1.19,1.03,1,Stop Loss
2022-07-26,10:30:00,Tuesday,Sell,1719.79,1727.99,8.2,8.41,1.03,9,Stop Loss
2023-06-27,05:30:00,Tuesday,Sell,1924.74,1929.75,5.01,5.16,1.03,2,Stop Loss
2011-05-10,02:30:00,Tuesday,Sell,1509.75,1513.54,3.79,3.9,1.03,2,Stop Loss
2023-12-05,10:30:00,Tuesday,Sell,2024.98,2039.71,14.73,15.23,1.03,13,Stop Loss
2021-09-14,02:30:00,Tuesday,Sell,1790.52,1793.72,3.2,3.29,1.03,2,Stop Loss
2017-09-05,10:30:00,Tuesday,Sell,1331.4,1336.59,5.19,5.41,1.04,2,Stop Loss
2016-12-06,06:30:00,Tuesday,Sell,1170.43,1175.3,4.87,5.08,1.04,8,Stop Loss
2025-01-07,22:30:00,Tuesday,Sell,2648.41,2651.52,3.11,3.23,1.04,2,Stop Loss
2019-01-08,02:30:00,Tuesday,Sell,1284.92,1290.32,5.4,5.63,1.04,10,Stop Loss
2015-12-22,10:30:00,Tuesday,Sell,1077.22,1080.23,3.01,3.12,1.04,1,Stop Loss
2023-02-07,10:30:00,Tuesday,Sell,1871.6,1878.08,6.48,6.75,1.04,2,Stop Loss
2018-03-13,21:30:00,Tuesday,Sell,1325.97,1327.96,1.99,2.07,1.04,2,Stop Loss
2016-07-26,14:30:00,Tuesday,Sell,1319.21,1322.6,3.39,3.56,1.05,6,Stop Loss
2019-03-26,14:30:00,Tuesday,Sell,1313.95,1319.04,5.09,5.32,1.05,6,Stop Loss
2010-05-04,18:30:00,Tuesday,Sell,1171.59,1186.39,14.8,15.55,1.05,12,Stop Loss
2015-10-13,01:30:00,Tuesday,Sell,1158.04,1164.02,5.98,6.29,1.05,3,Stop Loss
2023-10-03,01:30:00,Tuesday,Sell,1822.66,1829.74,7.08,7.53,1.06,3,Stop Loss
2010-01-26,10:30:00,Tuesday,Sell,1091.0,1096.2,5.2,5.5,1.06,1,Stop Loss
2022-09-06,18:30:00,Tuesday,Sell,1700.71,1709.6,8.89,9.42,1.06,6,Stop Loss
2013-08-06,06:30:00,Tuesday,Sell,1289.16,1304.54,15.38,16.35,1.06,15,Stop Loss
2019-11-19,02:30:00,Tuesday,Sell,1470.21,1475.45,5.24,5.55,1.06,7,Stop Loss
2012-01-03,10:30:00,Tuesday,Sell,1589.25,1592.6,3.35,3.54,1.06,1,Stop Loss
2019-06-04,06:30:00,Tuesday,Sell,1324.22,1325.46,1.24,1.31,1.06,1,Stop Loss
2012-06-12,06:30:00,Tuesday,Sell,1590.6,1595.08,4.48,4.8,1.07,2,Stop Loss
2021-09-14,10:30:00,Tuesday,Sell,1787.48,1794.94,7.46,8.0,1.07,1,Stop Loss
2022-03-22,10:30:00,Tuesday,Sell,1924.78,1938.31,13.53,14.46,1.07,9,Stop Loss
2020-09-08,22:30:00,Tuesday,Sell,1930.47,1940.38,9.91,10.58,1.07,4,Stop Loss
2019-04-16,14:30:00,Tuesday,Sell,1276.0,1285.15,9.15,9.82,1.07,42,Stop Loss
2024-05-21,01:30:00,Tuesday,Sell,2420.08,2433.26,13.18,14.25,1.08,4,Stop Loss
2016-02-02,06:30:00,Tuesday,Sell,1125.31,1127.21,1.9,2.05,1.08,2,Stop Loss
2023-03-21,13:30:00,Tuesday,Sell,1952.58,1969.58,17.0,18.42,1.08,8,Stop Loss
2010-07-27,14:30:00,Tuesday,Sell,1171.75,1185.7,13.95,15.05,1.08,24,Stop Loss
2012-09-04,10:30:00,Tuesday,Sell,1692.45,1696.6,4.15,4.5,1.08,2,Stop Loss
2016-02-02,18:30:00,Tuesday,Sell,1127.13,1129.78,2.65,2.87,1.08,4,Stop Loss
2020-01-28,22:30:00,Tuesday,Sell,1566.95,1570.33,3.38,3.68,1.09,3,Stop Loss
2024-08-06,17:30:00,Tuesday,Sell,2391.59,2403.23,11.64,12.65,1.09,5,Stop Loss
2015-09-15,10:30:00,Tuesday,Sell,1105.79,1108.87,3.08,3.35,1.09,1,Stop Loss
2018-11-27,02:30:00,Tuesday,Sell,1221.49,1223.4,1.91,2.08,1.09,2,Stop Loss
2013-03-19,09:30:00,Tuesday,Sell,1603.37,1606.46,3.09,3.38,1.09,2,Stop Loss
2010-03-09,10:30:00,Tuesday,Sell,1116.44,1124.29,7.85,8.55,1.09,2,Stop Loss
2025-08-12,13:30:00,Tuesday,Sell,3345.14,3358.1,12.96,14.14,1.09,1,Stop Loss
2018-08-21,14:30:00,Tuesday,Sell,1191.12,1194.38,3.26,3.56,1.09,2,Stop Loss
2025-04-15,09:30:00,Tuesday,Sell,3222.35,3232.3,9.95,10.84,1.09,3,Stop Loss
2013-10-01,13:30:00,Tuesday,Sell,1294.21,1332.93,38.72,42.67,1.1,90,Stop Loss
2009-12-29,02:30:00,Tuesday,Sell,1103.0,1107.95,4.95,5.45,1.1,3,Stop Loss
2022-06-14,14:30:00,Tuesday,Sell,1815.66,1825.37,9.71,10.71,1.1,5,Stop Loss
2018-10-23,21:30:00,Tuesday,Sell,1229.78,1233.66,3.88,4.28,1.1,6,Stop Loss
2013-03-12,09:30:00,Tuesday,Sell,1583.1,1584.0,0.9,0.99,1.1,1,Stop Loss
2009-10-20,17:30:00,Tuesday,Sell,1055.65,1062.85,7.2,7.95,1.1,6,Stop Loss
2014-12-09,02:30:00,Tuesday,Sell,1201.84,1203.99,2.15,2.36,1.1,1,Stop Loss
2014-09-30,21:30:00,Tuesday,Sell,1207.7,1210.62,2.92,3.2,1.1,4,Stop Loss
2009-03-17,05:30:00,Tuesday,Sell,920.9,923.62,2.72,3.0,1.1,1,Stop Loss
2011-07-12,10:30:00,Tuesday,Sell,1546.89,1552.55,5.66,6.27,1.11,1,Stop Loss
2013-10-08,09:30:00,Tuesday,Sell,1321.63,1327.13,5.5,6.08,1.11,1,Stop Loss
2016-10-11,05:30:00,Tuesday,Sell,1257.91,1259.77,1.86,2.07,1.11,1,Stop Loss
2025-08-12,09:30:00,Tuesday,Sell,3345.31,3358.21,12.9,14.31,1.11,2,Stop Loss
2009-12-22,14:30:00,Tuesday,Sell,1085.9,1096.0,10.1,11.25,1.11,9,Stop Loss
2017-11-07,14:30:00,Tuesday,Sell,1276.16,1280.16,4.0,4.45,1.11,5,Stop Loss
2024-06-18,21:30:00,Tuesday,Sell,2329.14,2331.61,2.47,2.77,1.12,2,Stop Loss
2009-11-10,06:30:00,Tuesday,Sell,1100.2,1103.05,2.85,3.2,1.12,1,Stop Loss
2021-03-30,14:30:00,Tuesday,Sell,1687.88,1696.91,9.03,10.12,1.12,6,Stop Loss
2014-03-04,10:30:00,Tuesday,Sell,1336.57,1341.43,4.86,5.43,1.12,8,Stop Loss
2022-11-01,13:30:00,Tuesday,Sell,1650.0,1657.12,7.12,8.05,1.13,6,Stop Loss
2020-06-02,06:30:00,Tuesday,Sell,1738.68,1742.22,3.54,3.99,1.13,2,Stop Loss
2016-10-11,09:30:00,Tuesday,Sell,1256.34,1262.26,5.92,6.7,1.13,14,Stop Loss
2014-07-08,02:30:00,Tuesday,Sell,1318.6,1320.36,1.76,1.99,1.13,3,Stop Loss
2016-05-24,22:30:00,Tuesday,Sell,1226.72,1229.8,3.08,3.49,1.13,1,Stop Loss
2015-08-04,22:30:00,Tuesday,Sell,1087.18,1089.85,2.67,3.03,1.13,4,Stop Loss
2012-10-23,17:30:00,Tuesday,Sell,1708.79,1713.26,4.47,5.03,1.13,2,Stop Loss
2023-02-07,06:30:00,Tuesday,Sell,1874.16,1876.97,2.81,3.17,1.13,1,Stop Loss
2024-11-26,06:30:00,Tuesday,Sell,2621.77,2631.58,9.81,11.06,1.13,1,Stop Loss
2020-11-17,06:30:00,Tuesday,Sell,1888.6,1892.53,3.93,4.45,1.13,1,Stop Loss
2015-09-22,21:30:00,Tuesday,Sell,1124.2,1126.33,2.13,2.42,1.14,3,Stop Loss
2021-06-29,22:30:00,Tuesday,Sell,1759.79,1765.55,5.76,6.59,1.14,5,Stop Loss
2017-03-14,05:30:00,Tuesday,Sell,1202.93,1205.09,2.16,2.47,1.14,2,Stop Loss
