date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason
2019-11-08,06:30:00,Friday,Buy,1470.32,1467.79,2.53,2.54,1.0,1,Stop Loss
2017-08-11,18:30:00,Friday,Buy,1288.26,1284.84,3.42,3.43,1.0,4,Stop Loss
2025-04-04,21:30:00,Friday,Buy,3036.12,3017.6,18.52,18.61,1.0,1,Stop Loss
2018-04-13,14:30:00,Friday,Buy,1343.89,1332.26,11.63,11.65,1.0,33,Stop Loss
2016-06-03,22:30:00,Friday,Buy,1244.22,1239.94,4.28,4.33,1.01,3,Stop Loss
2018-02-16,02:30:00,Friday,Buy,1356.84,1352.1,4.74,4.78,1.01,3,Stop Loss
2014-07-25,18:30:00,Friday,Buy,1302.46,1292.9,9.56,9.61,1.01,17,Stop Loss
2015-06-19,10:30:00,Friday,Buy,1201.1,1198.1,3.0,3.03,1.01,4,Stop Loss
2018-05-04,18:30:00,Friday,Buy,1314.04,1309.29,4.75,4.8,1.01,10,Stop Loss
2015-01-09,02:30:00,Friday,Buy,1212.68,1207.03,5.65,5.69,1.01,3,Stop Loss
2014-02-07,06:30:00,Friday,Buy,1261.93,1259.65,2.28,2.33,1.02,1,Stop Loss
2017-10-27,05:30:00,Friday,Buy,1267.49,1266.04,1.45,1.48,1.02,1,Stop Loss
2017-12-08,22:30:00,Friday,Buy,1247.97,1246.91,1.06,1.08,1.02,1,Stop Loss
2017-12-01,02:30:00,Friday,Buy,1275.85,1273.66,2.19,2.24,1.02,3,Stop Loss
2016-07-29,02:30:00,Friday,Buy,1339.05,1334.56,4.49,4.57,1.02,1,Stop Loss
2013-12-20,10:30:00,Friday,Buy,1195.49,1191.5,3.99,4.08,1.02,1,Stop Loss
2018-04-27,22:30:00,Friday,Buy,1323.37,1321.96,1.41,1.44,1.02,2,Stop Loss
2020-03-27,18:30:00,Friday,Buy,1622.36,1613.52,8.84,9.12,1.03,2,Stop Loss
2015-11-20,06:30:00,Friday,Buy,1085.29,1082.67,2.62,2.7,1.03,1,Stop Loss
2012-06-15,14:30:00,Friday,Buy,1625.81,1619.48,6.33,6.54,1.03,3,Stop Loss
2018-03-09,14:30:00,Friday,Buy,1321.09,1312.5,8.59,8.83,1.03,30,Stop Loss
2014-05-16,18:30:00,Friday,Buy,1292.44,1291.03,1.41,1.45,1.03,2,Stop Loss
2015-03-13,21:30:00,Friday,Buy,1156.82,1153.93,2.89,2.97,1.03,1,Stop Loss
2019-03-08,14:30:00,Friday,Buy,1295.82,1291.22,4.6,4.76,1.03,7,Stop Loss
2025-05-02,05:30:00,Friday,Buy,3252.14,3235.68,16.46,16.89,1.03,3,Stop Loss
2016-09-30,21:30:00,Friday,Buy,1316.78,1314.17,2.61,2.7,1.03,2,Stop Loss
2021-08-13,22:30:00,Friday,Buy,1778.96,1775.55,3.41,3.54,1.04,2,Stop Loss
2023-08-11,01:30:00,Friday,Buy,1915.59,1910.59,5.0,5.21,1.04,6,Stop Loss
2016-10-07,21:30:00,Friday,Buy,1257.11,1249.7,7.41,7.71,1.04,16,Stop Loss
2011-05-27,22:30:00,Friday,Buy,1536.45,1532.5,3.95,4.1,1.04,10,Stop Loss
2017-07-28,14:30:00,Friday,Buy,1265.79,1257.84,7.95,8.24,1.04,21,Stop Loss
