date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason
2016-02-01,18:30:00,Monday,Buy,1127.27,1124.11,3.16,3.16,1.0,4,Stop Loss
2025-07-07,21:30:00,Monday,Buy,3336.99,3328.28,8.71,8.75,1.0,2,Stop Loss
2011-04-18,06:30:00,Monday,Buy,1485.75,1484.25,1.5,1.5,1.0,1,Stop Loss
2018-04-23,22:30:00,Monday,Buy,1324.81,1322.81,2.0,2.03,1.01,1,Stop Loss
2024-02-12,18:30:00,Monday,Buy,2021.59,2011.59,10.0,10.13,1.01,5,Stop Loss
2022-02-21,22:30:00,Monday,Buy,1907.4,1900.9,6.5,6.58,1.01,3,Stop Loss
2019-07-15,06:30:00,Monday,Buy,1413.04,1409.09,3.95,3.99,1.01,3,Stop Loss
2022-06-06,02:30:00,Monday,Buy,1853.25,1848.85,4.4,4.51,1.02,3,Stop Loss
2019-03-25,14:30:00,Monday,Buy,1320.06,1315.82,4.24,4.34,1.02,5,Stop Loss
2012-01-09,10:30:00,Monday,Buy,1617.11,1612.19,4.92,5.0,1.02,1,Stop Loss
2011-05-23,10:30:00,Monday,Buy,1509.18,1504.75,4.43,4.52,1.02,1,Stop Loss
2020-11-30,06:30:00,Monday,Buy,1774.24,1765.03,9.21,9.39,1.02,1,Stop Loss
2011-05-30,14:30:00,Monday,Buy,1537.6,1534.7,2.9,2.95,1.02,4,Stop Loss
2023-02-20,06:30:00,Monday,Buy,1844.11,1840.88,3.23,3.28,1.02,3,Stop Loss
2023-02-06,06:30:00,Monday,Buy,1876.55,1871.96,4.59,4.68,1.02,1,Stop Loss
2013-06-10,14:30:00,Monday,Buy,1382.13,1375.55,6.58,6.77,1.03,5,Stop Loss
2022-07-18,02:30:00,Monday,Buy,1714.56,1705.66,8.9,9.2,1.03,6,Stop Loss
2014-08-18,22:30:00,Monday,Buy,1298.32,1297.05,1.27,1.31,1.03,1,Stop Loss
2010-03-29,10:30:00,Monday,Buy,1110.74,1106.94,3.8,3.9,1.03,2,Stop Loss
2023-05-01,21:30:00,Monday,Buy,1982.65,1979.13,3.52,3.64,1.03,3,Stop Loss
2018-02-05,22:30:00,Monday,Buy,1339.61,1333.47,6.14,6.35,1.03,4,Stop Loss
2013-07-22,22:30:00,Monday,Buy,1335.64,1333.03,2.61,2.71,1.04,2,Stop Loss
2012-11-26,02:30:00,Monday,Buy,1748.52,1745.1,3.42,3.54,1.04,9,Stop Loss
2010-10-18,13:30:00,Monday,Buy,1366.4,1358.2,8.2,8.5,1.04,6,Stop Loss
2020-11-16,22:30:00,Monday,Buy,1888.52,1884.85,3.67,3.81,1.04,2,Stop Loss
2011-02-21,18:30:00,Monday,Buy,1406.75,1402.5,4.25,4.4,1.04,3,Stop Loss
2013-09-23,13:30:00,Monday,Buy,1323.43,1316.92,6.51,6.77,1.04,5,Stop Loss
2010-04-26,18:30:00,Monday,Buy,1153.64,1150.44,3.2,3.35,1.05,4,Stop Loss
2021-01-04,18:30:00,Monday,Buy,1943.74,1928.96,14.78,15.59,1.05,11,Stop Loss
2018-09-24,09:30:00,Monday,Buy,1198.98,1194.12,4.86,5.08,1.05,13,Stop Loss
2021-08-09,06:30:00,Monday,Buy,1742.47,1732.96,9.51,10.09,1.06,3,Stop Loss
2023-08-07,21:30:00,Monday,Buy,1936.6,1935.33,1.27,1.35,1.06,1,Stop Loss
