date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason
2011-04-06,22:30:00,Wednesday,Buy,1459.75,1457.45,2.3,2.3,1.0,1,Stop Loss
2023-11-22,06:30:00,Wednesday,Buy,2000.94,1995.58,5.36,5.38,1.0,3,Stop Loss
2014-06-11,10:30:00,Wednesday,Buy,1262.58,1259.99,2.59,2.6,1.0,2,Stop Loss
2022-01-12,14:30:00,Wednesday,Buy,1821.96,1815.93,6.03,6.07,1.01,7,Stop Loss
2018-03-14,01:30:00,Wednesday,Buy,1326.79,1323.7,3.09,3.13,1.01,2,Stop Loss
2021-05-05,10:30:00,Wednesday,Buy,1778.51,1773.87,4.64,4.68,1.01,1,Stop Loss
2021-09-22,05:30:00,Wednesday,Buy,1777.87,1775.58,2.29,2.33,1.02,1,Stop Loss
2017-04-26,18:30:00,Wednesday,Buy,1265.03,1259.14,5.89,6.01,1.02,18,Stop Loss
2014-07-23,10:30:00,Wednesday,Buy,1307.9,1304.74,3.16,3.22,1.02,1,Stop Loss
2016-03-16,01:30:00,Wednesday,Buy,1232.55,1229.74,2.81,2.86,1.02,2,Stop Loss
2021-07-14,14:30:00,Wednesday,Buy,1823.33,1812.88,10.45,10.71,1.02,13,Stop Loss
2013-12-18,02:30:00,Wednesday,Buy,1233.62,1229.77,3.85,3.91,1.02,2,Stop Loss
2012-02-22,06:30:00,Wednesday,Buy,1756.92,1754.18,2.74,2.78,1.02,1,Stop Loss
2022-07-27,06:30:00,Wednesday,Buy,1719.14,1713.31,5.83,5.93,1.02,2,Stop Loss
2011-02-02,10:30:00,Wednesday,Buy,1337.45,1335.25,2.2,2.25,1.02,1,Stop Loss
2017-01-25,10:30:00,Wednesday,Buy,1204.13,1200.68,3.45,3.55,1.03,1,Stop Loss
2011-12-21,02:30:00,Wednesday,Buy,1627.8,1614.4,13.4,13.82,1.03,3,Stop Loss
2013-10-02,05:30:00,Wednesday,Buy,1292.48,1287.94,4.54,4.67,1.03,1,Stop Loss
2013-06-05,02:30:00,Wednesday,Buy,1402.68,1397.23,5.45,5.62,1.03,2,Stop Loss
2022-12-28,14:30:00,Wednesday,Buy,1805.62,1802.2,3.42,3.51,1.03,1,Stop Loss
2010-09-08,06:30:00,Wednesday,Buy,1259.1,1256.1,3.0,3.1,1.03,2,Stop Loss
2014-11-12,02:30:00,Wednesday,Buy,1164.95,1160.13,4.82,5.01,1.04,4,Stop Loss
2014-09-24,01:30:00,Wednesday,Buy,1222.91,1219.99,2.92,3.03,1.04,3,Stop Loss
2014-04-23,06:30:00,Wednesday,Buy,1284.76,1283.58,1.18,1.23,1.04,1,Stop Loss
2015-06-24,18:30:00,Wednesday,Buy,1174.74,1171.04,3.7,3.84,1.04,10,Stop Loss
2025-05-21,05:30:00,Wednesday,Buy,3316.62,3289.1,27.52,28.62,1.04,8,Stop Loss
2011-10-26,17:30:00,Wednesday,Buy,1718.9,1709.91,8.99,9.35,1.04,4,Stop Loss
2011-12-07,06:30:00,Wednesday,Buy,1730.25,1727.5,2.75,2.85,1.04,1,Stop Loss
