date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason
2020-10-16,13:30:00,Friday,Sell,1905.58,1914.07,8.49,8.5,1.0,6,Stop Loss
2022-07-08,22:30:00,Friday,Sell,1741.41,1744.37,2.96,2.99,1.01,1,Stop Loss
2024-04-12,17:30:00,Friday,Sell,2354.86,2431.58,76.72,77.78,1.01,152,Stop Loss
2020-12-11,10:30:00,Friday,Sell,1831.8,1839.69,7.89,7.94,1.01,1,Stop Loss
2012-09-28,17:30:00,Friday,Sell,1771.15,1778.95,7.8,7.9,1.01,5,Stop Loss
2022-06-10,06:30:00,Friday,Sell,1844.46,1846.84,2.38,2.41,1.01,1,Stop Loss
2019-11-29,10:30:00,Friday,Sell,1456.05,1459.14,3.09,3.12,1.01,2,Stop Loss
2017-03-31,10:30:00,Friday,Sell,1241.82,1243.56,1.74,1.76,1.01,1,Stop Loss
2014-12-19,22:30:00,Friday,Sell,1195.46,1197.38,1.92,1.96,1.02,1,Stop Loss
2012-10-26,17:30:00,Friday,Sell,1711.88,1719.02,7.14,7.27,1.02,16,Stop Loss
2016-02-19,02:30:00,Friday,Sell,1226.32,1232.71,6.39,6.49,1.02,3,Stop Loss
2024-12-20,10:30:00,Friday,Sell,2603.95,2607.83,3.88,3.96,1.02,1,Stop Loss
2024-03-15,17:30:00,Friday,Sell,2156.51,2166.81,10.3,10.56,1.03,19,Stop Loss
2018-02-23,02:30:00,Friday,Sell,1329.02,1332.25,3.23,3.32,1.03,6,Stop Loss
2010-06-04,10:30:00,Friday,Sell,1202.2,1207.6,5.4,5.56,1.03,1,Stop Loss
2017-03-03,10:30:00,Friday,Sell,1227.54,1232.25,4.71,4.83,1.03,3,Stop Loss
2023-01-27,22:30:00,Friday,Sell,1928.24,1932.08,3.84,3.96,1.03,2,Stop Loss
2021-07-23,22:30:00,Friday,Sell,1801.55,1804.71,3.16,3.29,1.04,1,Stop Loss
2019-09-27,21:30:00,Friday,Sell,1496.46,1500.04,3.58,3.74,1.04,1,Stop Loss
2017-07-07,18:30:00,Friday,Sell,1210.53,1216.16,5.63,5.84,1.04,12,Stop Loss
2011-02-04,02:30:00,Friday,Sell,1350.95,1355.65,4.7,4.95,1.05,3,Stop Loss
2014-11-14,06:30:00,Friday,Sell,1153.83,1160.55,6.72,7.08,1.05,3,Stop Loss
2014-10-10,09:30:00,Friday,Sell,1221.47,1223.96,2.49,2.61,1.05,1,Stop Loss
