date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason
2021-02-15,10:30:00,Monday,Sell,1818.18,1820.4,2.22,2.22,1.0,1,Stop Loss
2012-06-18,22:30:00,Monday,Sell,1627.55,1630.05,2.5,2.53,1.01,1,Stop Loss
2014-12-29,14:30:00,Monday,Sell,1187.32,1195.88,8.56,8.64,1.01,6,Stop Loss
2024-08-19,01:30:00,Monday,Sell,2497.93,2510.24,12.31,12.4,1.01,8,Stop Loss
2013-06-17,02:30:00,Monday,Sell,1389.7,1391.02,1.32,1.33,1.01,1,Stop Loss
2020-03-02,18:30:00,Monday,Sell,1592.84,1601.66,8.82,8.91,1.01,5,Stop Loss
2023-05-15,05:30:00,Monday,Sell,2016.57,2019.33,2.76,2.79,1.01,1,Stop Loss
2011-02-28,10:30:00,Monday,Sell,1410.65,1416.5,5.85,5.9,1.01,6,Stop Loss
2015-04-13,18:30:00,Monday,Sell,1199.46,1201.18,1.72,1.74,1.01,2,Stop Loss
2023-02-13,18:30:00,Monday,Sell,1854.87,1858.52,3.65,3.71,1.02,3,Stop Loss
2023-01-23,06:30:00,Monday,Sell,1922.38,1933.27,10.89,11.13,1.02,5,Stop Loss
2021-07-26,18:30:00,Monday,Sell,1798.11,1802.68,4.57,4.66,1.02,5,Stop Loss
2023-09-18,09:30:00,Monday,Sell,1926.63,1930.44,3.81,3.9,1.02,2,Stop Loss
2012-12-03,10:30:00,Monday,Sell,1716.46,1720.4,3.94,4.03,1.02,1,Stop Loss
2013-01-14,22:30:00,Monday,Sell,1667.34,1669.67,2.33,2.39,1.02,1,Stop Loss
2016-06-06,02:30:00,Monday,Sell,1241.76,1248.75,6.99,7.12,1.02,13,Stop Loss
2019-06-17,02:30:00,Monday,Sell,1340.5,1342.58,2.08,2.15,1.03,1,Stop Loss
2017-01-23,10:30:00,Monday,Sell,1212.93,1216.61,3.68,3.79,1.03,2,Stop Loss
2018-05-28,02:30:00,Monday,Sell,1298.18,1300.9,2.72,2.81,1.03,5,Stop Loss
2020-06-29,18:30:00,Monday,Sell,1769.49,1774.25,4.76,4.9,1.03,6,Stop Loss
2023-06-19,17:30:00,Monday,Sell,1949.37,1953.55,4.18,4.32,1.03,2,Stop Loss
