date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason
2015-01-07,18:30:00,Wednesday,Sell,1210.52,1216.55,6.03,6.03,1.0,6,Stop Loss
2010-09-22,21:30:00,Wednesday,Sell,1291.0,1292.5,1.5,1.5,1.0,1,Stop Loss
2023-02-08,06:30:00,Wednesday,Sell,1875.87,1878.57,2.7,2.72,1.01,1,Stop Loss
2016-04-27,22:30:00,Wednesday,Sell,1245.28,1252.88,7.6,7.7,1.01,2,Stop Loss
2014-08-06,22:30:00,Wednesday,Sell,1305.39,1308.92,3.53,3.55,1.01,5,Stop Loss
2015-10-07,13:30:00,Wednesday,Sell,1145.2,1153.82,8.62,8.67,1.01,11,Stop Loss
2011-06-08,10:30:00,Wednesday,Sell,1536.6,1542.55,5.95,5.98,1.01,1,Stop Loss
2012-03-21,14:30:00,Wednesday,Sell,1652.9,1657.4,4.5,4.55,1.01,1,Stop Loss
2011-09-07,06:30:00,Wednesday,Sell,1834.5,1875.8,41.3,41.9,1.01,13,Stop Loss
2010-04-28,06:30:00,Wednesday,Sell,1163.84,1165.84,2.0,2.05,1.02,1,Stop Loss
2013-02-13,06:30:00,Wednesday,Sell,1649.35,1653.57,4.22,4.3,1.02,2,Stop Loss
2024-03-06,02:30:00,Wednesday,Sell,2126.11,2128.58,2.47,2.52,1.02,2,Stop Loss
2020-01-08,18:30:00,Wednesday,Sell,1555.72,1575.19,19.47,19.94,1.02,71,Stop Loss
2021-08-25,14:30:00,Wednesday,Sell,1788.98,1797.85,8.87,9.04,1.02,7,Stop Loss
2014-02-26,18:30:00,Wednesday,Sell,1328.71,1333.56,4.85,4.94,1.02,5,Stop Loss
2019-09-04,10:30:00,Wednesday,Sell,1538.07,1542.29,4.22,4.31,1.02,1,Stop Loss
2018-09-05,06:30:00,Wednesday,Sell,1193.26,1194.72,1.46,1.49,1.02,1,Stop Loss
2012-08-08,10:30:00,Wednesday,Sell,1607.11,1610.95,3.84,3.91,1.02,1,Stop Loss
2018-08-08,06:30:00,Wednesday,Sell,1213.09,1214.85,1.76,1.79,1.02,1,Stop Loss
2015-12-23,10:30:00,Wednesday,Sell,1071.59,1074.94,3.35,3.46,1.03,7,Stop Loss
2020-06-24,22:30:00,Wednesday,Sell,1761.01,1767.88,6.87,7.11,1.03,3,Stop Loss
2018-10-17,17:30:00,Wednesday,Sell,1224.18,1229.61,5.43,5.62,1.03,6,Stop Loss
2021-07-07,06:30:00,Wednesday,Sell,1801.58,1802.92,1.34,1.38,1.03,1,Stop Loss
2016-11-16,10:30:00,Wednesday,Sell,1225.83,1230.11,4.28,4.45,1.04,6,Stop Loss
2014-02-12,22:30:00,Wednesday,Sell,1290.62,1294.91,4.29,4.47,1.04,4,Stop Loss
2019-02-13,10:30:00,Wednesday,Sell,1310.94,1313.74,2.8,2.9,1.04,1,Stop Loss
2010-05-19,06:30:00,Wednesday,Sell,1212.14,1217.24,5.1,5.3,1.04,1,Stop Loss
2009-10-28,09:30:00,Wednesday,Sell,1034.1,1041.25,7.15,7.51,1.05,8,Stop Loss
2015-11-18,14:30:00,Wednesday,Sell,1069.08,1071.95,2.87,3.01,1.05,2,Stop Loss
2025-03-26,05:30:00,Wednesday,Sell,3022.47,3027.21,4.74,4.98,1.05,1,Stop Loss
2017-02-01,14:30:00,Wednesday,Sell,1205.09,1211.77,6.68,7.03,1.05,3,Stop Loss
2011-03-16,17:30:00,Wednesday,Sell,1396.7,1406.45,9.75,10.25,1.05,8,Stop Loss
2013-01-30,10:30:00,Wednesday,Sell,1665.95,1669.05,3.1,3.25,1.05,1,Stop Loss
2022-12-14,10:30:00,Wednesday,Sell,1808.51,1812.62,4.11,4.3,1.05,2,Stop Loss
2023-02-01,18:30:00,Wednesday,Sell,1926.91,1932.39,5.48,5.76,1.05,1,Stop Loss
2010-10-20,13:30:00,Wednesday,Sell,1338.8,1342.75,3.95,4.15,1.05,1,Stop Loss
2015-06-24,14:30:00,Wednesday,Sell,1174.33,1179.93,5.6,5.95,1.06,15,Stop Loss
2019-02-13,18:30:00,Wednesday,Sell,1310.42,1318.22,7.8,8.26,1.06,11,Stop Loss
2012-04-18,14:30:00,Wednesday,Sell,1642.87,1647.55,4.68,4.96,1.06,1,Stop Loss
2023-11-01,05:30:00,Wednesday,Sell,1978.77,1981.05,2.28,2.42,1.06,1,Stop Loss
2011-11-09,10:30:00,Wednesday,Sell,1783.95,1789.65,5.7,6.03,1.06,1,Stop Loss
2020-04-08,18:30:00,Wednesday,Sell,1648.42,1652.85,4.43,4.69,1.06,1,Stop Loss
2021-12-01,10:30:00,Wednesday,Sell,1785.92,1789.19,3.27,3.47,1.06,1,Stop Loss
2015-07-22,02:30:00,Wednesday,Sell,1095.45,1103.5,8.05,8.51,1.06,8,Stop Loss
2023-05-24,09:30:00,Wednesday,Sell,1975.81,1979.95,4.14,4.45,1.07,1,Stop Loss
2023-12-27,02:30:00,Wednesday,Sell,2065.1,2068.61,3.51,3.75,1.07,2,Stop Loss
2019-01-30,10:30:00,Wednesday,Sell,1312.59,1316.03,3.44,3.67,1.07,3,Stop Loss
2017-04-05,02:30:00,Wednesday,Sell,1254.37,1256.67,2.3,2.46,1.07,2,Stop Loss
2021-10-27,01:30:00,Wednesday,Sell,1789.09,1794.44,5.35,5.7,1.07,3,Stop Loss
2015-01-14,18:30:00,Wednesday,Sell,1233.84,1241.19,7.35,7.93,1.08,4,Stop Loss
2014-12-31,18:30:00,Wednesday,Sell,1182.26,1196.46,14.2,15.4,1.08,8,Stop Loss
2022-05-25,14:30:00,Wednesday,Sell,1849.18,1857.2,8.02,8.67,1.08,11,Stop Loss
2018-07-04,10:30:00,Wednesday,Sell,1256.37,1261.17,4.8,5.2,1.08,17,Stop Loss
2023-12-20,10:30:00,Wednesday,Sell,2035.69,2043.58,7.89,8.5,1.08,7,Stop Loss
2016-12-14,22:30:00,Wednesday,Sell,1142.82,1161.56,18.74,20.31,1.08,61,Stop Loss
2014-05-07,06:30:00,Wednesday,Sell,1311.59,1313.71,2.12,2.28,1.08,1,Stop Loss
2013-01-16,22:30:00,Wednesday,Sell,1679.44,1682.28,2.84,3.06,1.08,3,Stop Loss
2012-10-03,13:30:00,Wednesday,Sell,1777.71,1781.9,4.19,4.52,1.08,4,Stop Loss
2025-06-25,09:30:00,Wednesday,Sell,3325.07,3337.23,12.16,13.18,1.08,4,Stop Loss
2014-05-07,18:30:00,Wednesday,Sell,1289.56,1301.17,11.61,12.59,1.08,17,Stop Loss
2023-01-18,02:30:00,Wednesday,Sell,1903.78,1910.48,6.7,7.3,1.09,2,Stop Loss
2022-02-09,10:30:00,Wednesday,Sell,1826.56,1828.44,1.88,2.05,1.09,1,Stop Loss
2024-08-14,13:30:00,Wednesday,Sell,2457.15,2480.2,23.05,25.07,1.09,12,Stop Loss
2011-03-30,22:30:00,Wednesday,Sell,1422.6,1424.55,1.95,2.15,1.1,1,Stop Loss
2016-08-17,06:30:00,Wednesday,Sell,1343.52,1345.51,1.99,2.18,1.1,1,Stop Loss
2015-02-25,10:30:00,Wednesday,Sell,1206.66,1211.85,5.19,5.69,1.1,5,Stop Loss
2010-12-29,22:30:00,Wednesday,Sell,1411.35,1412.35,1.0,1.1,1.1,1,Stop Loss
2011-07-20,06:30:00,Wednesday,Sell,1588.1,1592.35,4.25,4.67,1.1,1,Stop Loss
2010-06-30,14:30:00,Wednesday,Sell,1241.7,1245.35,3.65,4.0,1.1,1,Stop Loss
2011-08-31,10:30:00,Wednesday,Sell,1824.55,1836.66,12.11,13.35,1.1,2,Stop Loss
2014-08-20,10:30:00,Wednesday,Sell,1294.22,1296.59,2.37,2.6,1.1,1,Stop Loss
2025-05-14,05:30:00,Wednesday,Sell,3233.33,3241.57,8.24,9.1,1.1,1,Stop Loss
2020-03-18,17:30:00,Wednesday,Sell,1488.18,1518.49,30.31,33.72,1.11,17,Stop Loss
2018-03-28,14:30:00,Wednesday,Sell,1331.51,1340.86,9.35,10.39,1.11,13,Stop Loss
2013-11-27,14:30:00,Wednesday,Sell,1244.76,1254.32,9.56,10.58,1.11,13,Stop Loss
2021-05-12,18:30:00,Wednesday,Sell,1821.99,1834.12,12.13,13.43,1.11,10,Stop Loss
2012-10-03,01:30:00,Wednesday,Sell,1772.85,1774.75,1.9,2.1,1.11,1,Stop Loss
2018-08-08,10:30:00,Wednesday,Sell,1211.31,1216.01,4.7,5.26,1.12,6,Stop Loss
2014-04-02,06:30:00,Wednesday,Sell,1282.74,1284.06,1.32,1.48,1.12,1,Stop Loss
2019-10-09,01:30:00,Wednesday,Sell,1504.91,1509.47,4.56,5.12,1.12,2,Stop Loss
2016-07-27,02:30:00,Wednesday,Sell,1318.11,1320.3,2.19,2.46,1.12,1,Stop Loss
2022-06-08,22:30:00,Wednesday,Sell,1853.03,1855.14,2.11,2.36,1.12,2,Stop Loss
2011-01-12,10:30:00,Wednesday,Sell,1382.3,1387.25,4.95,5.55,1.12,3,Stop Loss
2023-12-27,06:30:00,Wednesday,Sell,2064.62,2067.54,2.92,3.27,1.12,1,Stop Loss
2012-01-11,10:30:00,Wednesday,Sell,1640.8,1647.3,6.5,7.33,1.13,6,Stop Loss
2015-09-09,14:30:00,Wednesday,Sell,1110.97,1121.91,10.94,12.31,1.13,31,Stop Loss
2011-11-23,10:30:00,Wednesday,Sell,1691.16,1708.35,17.19,19.43,1.13,15,Stop Loss
2011-05-18,22:30:00,Wednesday,Sell,1496.8,1499.05,2.25,2.55,1.13,1,Stop Loss
2023-04-12,09:30:00,Wednesday,Sell,2010.54,2018.93,8.39,9.48,1.13,1,Stop Loss
2016-01-13,02:30:00,Wednesday,Sell,1084.14,1088.1,3.96,4.46,1.13,3,Stop Loss
2012-11-07,14:30:00,Wednesday,Sell,1717.22,1729.83,12.61,14.22,1.13,8,Stop Loss
2013-03-13,05:30:00,Wednesday,Sell,1591.99,1594.23,2.24,2.54,1.13,2,Stop Loss
2015-05-20,18:30:00,Wednesday,Sell,1209.76,1212.33,2.57,2.9,1.13,1,Stop Loss
2010-08-18,22:30:00,Wednesday,Sell,1229.05,1230.2,1.15,1.3,1.13,1,Stop Loss
2010-05-12,22:30:00,Wednesday,Sell,1238.49,1248.54,10.05,11.4,1.13,10,Stop Loss
2018-10-17,21:30:00,Wednesday,Sell,1221.89,1224.81,2.92,3.33,1.14,4,Stop Loss
2017-01-18,22:30:00,Wednesday,Sell,1203.49,1210.3,6.81,7.74,1.14,12,Stop Loss
2019-01-09,02:30:00,Wednesday,Sell,1283.84,1287.22,3.38,3.87,1.14,3,Stop Loss
2021-05-12,02:30:00,Wednesday,Sell,1829.98,1837.72,7.74,8.83,1.14,3,Stop Loss
2017-10-11,05:30:00,Wednesday,Sell,1288.06,1288.96,0.9,1.03,1.14,1,Stop Loss
2020-09-09,06:30:00,Wednesday,Sell,1927.67,1934.52,6.85,7.78,1.14,2,Stop Loss
2011-02-23,22:30:00,Wednesday,Sell,1411.3,1412.3,1.0,1.15,1.15,1,Stop Loss
2019-07-24,18:30:00,Wednesday,Sell,1422.85,1429.61,6.76,7.75,1.15,5,Stop Loss
2022-12-21,02:30:00,Wednesday,Sell,1816.15,1819.91,3.76,4.38,1.16,4,Stop Loss
2013-06-26,18:30:00,Wednesday,Sell,1231.35,1240.45,9.1,10.57,1.16,3,Stop Loss
2013-03-13,01:30:00,Wednesday,Sell,1592.0,1594.19,2.19,2.55,1.16,2,Stop Loss
2023-07-19,01:30:00,Wednesday,Sell,1976.34,1979.3,2.96,3.44,1.16,2,Stop Loss
2023-09-06,09:30:00,Wednesday,Sell,1925.03,1928.47,3.44,4.0,1.16,1,Stop Loss
2015-03-04,10:30:00,Wednesday,Sell,1203.95,1207.34,3.39,3.94,1.16,1,Stop Loss
2025-07-30,13:30:00,Wednesday,Sell,3302.91,3333.12,30.21,35.02,1.16,12,Stop Loss
2015-09-30,13:30:00,Wednesday,Sell,1115.22,1124.44,9.22,10.73,1.16,12,Stop Loss
2020-03-04,10:30:00,Wednesday,Sell,1641.42,1645.28,3.86,4.53,1.17,1,Stop Loss
