date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,distance_rounded
2025-07-07,21:30:00,Monday,Buy,3336.99,3328.28,8.7,8.75,1.0,2,Stop Loss,8
2025-08-12,01:30:00,Tuesday,Buy,3349.94,3341.97,8.0,8.07,1.01,3,Stop Loss,8
2013-11-14,14:30:00,Thursday,Buy,1286.0,1277.82,8.2,8.25,1.01,12,Stop Loss,8
2022-01-13,18:30:00,Thursday,Buy,1820.45,1812.01,8.4,8.55,1.01,16,Stop Loss,8
2024-12-26,14:30:00,Thursday,Buy,2630.09,2621.35,8.7,8.86,1.01,6,Stop Loss,8
2020-03-27,18:30:00,Friday,Buy,1622.36,1613.52,8.8,9.12,1.03,2,Stop Loss,8
2022-07-18,02:30:00,Monday,Buy,1714.56,1705.66,8.9,9.2,1.03,6,Stop Loss,8
2018-03-09,14:30:00,Friday,Buy,1321.09,1312.5,8.6,8.83,1.03,30,Stop Loss,8
2010-04-13,18:30:00,Tuesday,Buy,1153.05,1144.64,8.4,8.75,1.04,18,Stop Loss,8
2020-04-16,14:30:00,Thursday,Buy,1725.15,1716.67,8.5,8.81,1.04,1,Stop Loss,8
2017-07-28,14:30:00,Friday,Buy,1265.79,1257.84,8.0,8.24,1.04,21,Stop Loss,8
2010-10-18,13:30:00,Monday,Buy,1366.4,1358.2,8.2,8.5,1.04,6,Stop Loss,8
2010-04-09,18:30:00,Friday,Buy,1160.15,1151.4,8.8,9.2,1.05,9,Stop Loss,8
2021-10-25,05:30:00,Monday,Buy,1800.62,1791.87,8.8,9.26,1.06,8,Stop Loss,8
2025-08-29,21:30:00,Friday,Buy,3449.57,3440.63,8.9,9.49,1.06,1,Stop Loss,8
2021-07-23,18:30:00,Friday,Buy,1802.79,1794.57,8.2,8.71,1.06,9,Stop Loss,8
2019-10-09,13:30:00,Wednesday,Buy,1507.85,1499.53,8.3,9.11,1.09,6,Stop Loss,8
2023-12-06,18:30:00,Wednesday,Buy,2030.71,2022.38,8.3,9.12,1.09,6,Stop Loss,8
2016-08-10,02:30:00,Wednesday,Buy,1347.91,1339.37,8.5,9.28,1.09,11,Stop Loss,8
2013-10-25,17:30:00,Friday,Buy,1352.62,1344.54,8.1,9.08,1.12,10,Stop Loss,8
2011-12-16,06:30:00,Friday,Buy,1591.45,1582.85,8.6,9.72,1.13,2,Stop Loss,8
2024-11-13,10:30:00,Wednesday,Buy,2609.16,2600.73,8.4,9.58,1.14,2,Stop Loss,8
2020-10-19,05:30:00,Monday,Buy,1908.11,1899.31,8.8,10.35,1.18,5,Stop Loss,8
2011-12-16,18:30:00,Friday,Buy,1594.8,1586.25,8.6,10.15,1.19,3,Stop Loss,8
2013-09-19,02:30:00,Thursday,Buy,1365.56,1357.53,8.0,9.57,1.19,8,Stop Loss,8
2020-01-09,18:30:00,Thursday,Buy,1552.88,1544.5,8.4,10.12,1.21,14,Stop Loss,8
2015-07-02,14:30:00,Thursday,Buy,1164.91,1156.75,8.2,9.87,1.21,17,Stop Loss,8
2020-04-23,14:30:00,Thursday,Buy,1728.1,1719.51,8.6,10.49,1.22,7,Stop Loss,8
2012-02-06,14:30:00,Monday,Buy,1719.59,1711.34,8.2,10.06,1.22,6,Stop Loss,8
2019-10-31,09:30:00,Thursday,Buy,1505.4,1496.71,8.7,10.65,1.23,19,Stop Loss,8
2024-06-20,17:30:00,Thursday,Buy,2357.55,2348.65,8.9,11.07,1.24,5,Stop Loss,8
2015-01-20,22:30:00,Tuesday,Buy,1294.51,1285.88,8.6,10.83,1.25,5,Stop Loss,8
2020-02-27,02:30:00,Thursday,Buy,1649.0,1640.07,8.9,11.3,1.27,4,Stop Loss,8
2025-03-24,05:30:00,Monday,Buy,3022.16,3013.44,8.7,11.1,1.27,3,Stop Loss,8
2022-10-20,09:30:00,Thursday,Buy,1635.0,1626.73,8.3,10.55,1.28,3,Stop Loss,8
2022-10-17,09:30:00,Monday,Buy,1657.05,1648.22,8.8,11.3,1.28,3,Stop Loss,8
2011-06-14,18:30:00,Tuesday,Buy,1523.75,1515.3,8.4,10.79,1.28,5,Stop Loss,8
2022-06-15,10:30:00,Wednesday,Buy,1825.49,1817.02,8.5,10.92,1.29,2,Stop Loss,8
2021-09-08,18:30:00,Wednesday,Buy,1792.37,1783.65,8.7,11.35,1.3,14,Stop Loss,8
2020-07-31,06:30:00,Friday,Buy,1972.31,1964.19,8.1,10.62,1.31,2,Stop Loss,8
2021-03-24,10:30:00,Wednesday,Buy,1734.79,1726.84,8.0,10.54,1.33,7,Stop Loss,8
2024-12-11,18:30:00,Wednesday,Buy,2714.22,2705.4,8.8,11.73,1.33,2,Stop Loss,8
2022-04-12,18:30:00,Tuesday,Buy,1969.32,1960.42,8.9,12.14,1.36,11,Stop Loss,8
2012-01-31,02:30:00,Tuesday,Buy,1736.63,1728.65,8.0,10.86,1.36,4,Stop Loss,8
2018-05-09,14:30:00,Wednesday,Buy,1313.89,1305.2,8.7,11.94,1.37,24,Stop Loss,8
2019-10-11,21:30:00,Friday,Buy,1487.18,1479.05,8.1,11.28,1.39,11,Stop Loss,8
2011-12-02,10:30:00,Friday,Buy,1750.46,1741.57,8.9,12.54,1.41,2,Stop Loss,8
2015-05-15,14:30:00,Friday,Buy,1219.62,1210.7,8.9,12.68,1.42,13,Stop Loss,8
2024-12-16,02:30:00,Monday,Buy,2651.89,2643.18,8.7,12.38,1.42,8,Stop Loss,8
2009-12-24,06:30:00,Thursday,Buy,1102.65,1094.7,8.0,11.25,1.42,16,Stop Loss,8
2024-04-04,17:30:00,Thursday,Buy,2294.1,2286.11,8.0,11.42,1.43,1,Stop Loss,8
2023-02-08,18:30:00,Wednesday,Buy,1878.02,1869.53,8.5,12.15,1.43,6,Stop Loss,8
2024-12-10,18:30:00,Tuesday,Buy,2692.47,2684.22,8.2,11.86,1.44,3,Stop Loss,8
2010-11-10,02:30:00,Wednesday,Buy,1398.45,1390.3,8.2,11.7,1.44,4,Stop Loss,8
2014-01-24,14:30:00,Friday,Buy,1267.32,1259.21,8.1,11.78,1.45,6,Stop Loss,8
2015-08-21,18:30:00,Friday,Buy,1157.45,1148.97,8.5,12.41,1.46,7,Stop Loss,8
2022-10-12,05:30:00,Wednesday,Buy,1669.68,1661.04,8.6,12.59,1.46,8,Stop Loss,8
2022-04-29,06:30:00,Friday,Buy,1906.98,1898.29,8.7,12.79,1.47,4,Stop Loss,8
2021-01-14,14:30:00,Thursday,Buy,1844.88,1836.35,8.5,12.59,1.48,7,Stop Loss,8
2021-01-05,10:30:00,Tuesday,Buy,1946.99,1938.69,8.3,12.34,1.49,7,Stop Loss,8
2010-10-18,09:30:00,Monday,Buy,1361.5,1352.55,8.9,13.4,1.5,7,Stop Loss,8
2010-05-18,14:30:00,Tuesday,Buy,1215.34,1206.59,8.8,13.65,1.56,4,Stop Loss,8
2013-04-26,14:30:00,Friday,Buy,1469.6,1461.05,8.6,13.47,1.58,1,Stop Loss,8
2013-11-06,02:30:00,Wednesday,Buy,1313.38,1305.25,8.1,12.95,1.59,9,Stop Loss,8
2019-07-26,14:30:00,Friday,Buy,1421.26,1413.1,8.2,13.09,1.6,20,Stop Loss,8
2016-04-29,18:30:00,Friday,Buy,1290.56,1282.42,8.1,13.06,1.6,12,Stop Loss,8
2016-03-10,18:30:00,Thursday,Buy,1270.84,1262.54,8.3,13.57,1.63,4,Stop Loss,8
2024-03-13,13:30:00,Wednesday,Buy,2166.15,2157.82,8.3,13.61,1.63,7,Stop Loss,8
2013-07-03,10:30:00,Wednesday,Buy,1245.49,1236.6,8.9,14.45,1.63,12,Stop Loss,8
2022-09-21,10:30:00,Wednesday,Buy,1673.43,1664.62,8.8,14.55,1.65,3,Stop Loss,8
2010-09-03,18:30:00,Friday,Buy,1248.15,1239.7,8.4,14.05,1.66,29,Stop Loss,8
2023-12-14,02:30:00,Thursday,Buy,2032.86,2023.93,8.9,14.98,1.68,10,Stop Loss,8
