date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,distance_rounded
2015-07-20,02:30:00,Monday,Sell,1106.2,1134.4,28.2,33.1,1.17,137,Stop Loss,28
2021-01-08,18:30:00,Friday,Sell,1837.83,1866.6,28.8,36.36,1.26,48,Stop Loss,28
2012-12-18,18:30:00,Tuesday,Sell,1667.7,1696.0,28.3,42.01,1.48,116,Stop Loss,28
2024-06-21,13:30:00,Friday,Sell,2340.1,2368.82,28.7,46.6,1.62,60,Stop Loss,28
2009-02-25,18:30:00,Wednesday,Sell,948.9,977.35,28.4,83.93,2.95,289,Stop Loss,28
2011-09-19,14:30:00,Monday,Sell,1793.85,1822.3,28.4,747.62,26.28,13620,Stop Loss,28
2011-09-06,10:30:00,Tuesday,Sell,1892.9,1921.0,28.1,846.67,30.13,13698,Stop Loss,28
2023-05-11,13:30:00,Thursday,Sell,2012.44,2041.38,28.9,202.1,6.98,858,Stop Loss,28
2022-06-13,14:30:00,Monday,Sell,1830.25,1859.02,28.8,215.61,7.49,868,Stop Loss,28
2010-10-21,17:30:00,Thursday,Sell,1318.95,1347.0,28.1,4.0,SL,10,Stop Loss,28
2020-10-13,13:30:00,Tuesday,Sell,1895.56,1924.19,28.6,13.33,SL,36,Stop Loss,28
2025-02-06,14:30:00,Thursday,Sell,2841.48,2870.29,28.8,7.4,SL,4,Stop Loss,28
2025-05-22,13:30:00,Thursday,Sell,3287.15,3315.88,28.7,7.88,SL,4,Stop Loss,28
