date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,distance_rounded
2023-03-23,13:30:00,Thursday,Buy,1984.16,1966.24,17.9,19.07,1.06,11,Stop Loss,17
2013-04-25,18:30:00,Thursday,Buy,1466.2,1448.33,17.9,19.1,1.07,6,Stop Loss,17
2012-12-07,14:30:00,Friday,Buy,1700.83,1683.05,17.8,22.47,1.26,43,Stop Loss,17
2020-08-21,18:30:00,Friday,Buy,1939.01,1921.27,17.7,22.74,1.28,10,Stop Loss,17
2024-12-20,14:30:00,Friday,Buy,2616.85,2599.79,17.1,22.1,1.3,29,Stop Loss,17
2021-02-08,14:30:00,Monday,Buy,1832.13,1815.1,17.0,23.15,1.36,23,Stop Loss,17
2025-05-19,05:30:00,Monday,Buy,3224.17,3206.43,17.7,24.35,1.37,6,Stop Loss,17
2025-08-07,01:30:00,Thursday,Buy,3382.34,3365.06,17.3,24.94,1.44,14,Stop Loss,17
2025-05-23,13:30:00,Friday,Buy,3340.21,3323.2,17.0,25.63,1.51,10,Stop Loss,17
2010-12-03,14:30:00,Friday,Buy,1403.28,1385.45,17.8,28.05,1.57,18,Stop Loss,17
2018-02-14,14:30:00,Wednesday,Buy,1333.99,1316.68,17.3,27.63,1.6,54,Stop Loss,17
2011-06-15,14:30:00,Wednesday,Buy,1530.62,1513.65,17.0,27.37,1.61,38,Stop Loss,17
2019-08-12,10:30:00,Monday,Buy,1504.66,1486.91,17.8,30.23,1.7,7,Stop Loss,17
2020-03-26,10:30:00,Thursday,Buy,1609.92,1592.09,17.8,33.04,1.85,20,Stop Loss,17
2015-01-16,14:30:00,Friday,Buy,1274.11,1256.72,17.4,33.38,1.92,55,Stop Loss,17
2011-11-07,02:30:00,Monday,Buy,1769.27,1751.92,17.4,33.53,1.93,22,Stop Loss,17
2021-03-31,18:30:00,Wednesday,Buy,1710.89,1693.43,17.5,205.58,11.77,548,Stop Loss,17
2022-11-23,14:30:00,Wednesday,Buy,1742.74,1725.29,17.4,2088.57,119.69,4397,End of Data,17
2011-12-29,18:30:00,Thursday,Buy,1545.2,1527.25,17.9,245.35,13.67,585,Stop Loss,17
2009-10-02,13:30:00,Friday,Buy,1003.7,986.3,17.4,2827.61,162.51,24679,End of Data,17
2023-08-23,13:30:00,Wednesday,Buy,1918.13,1900.95,17.2,34.76,2.02,97,Stop Loss,17
2011-11-03,17:30:00,Thursday,Buy,1763.45,1745.7,17.8,39.35,2.22,30,Stop Loss,17
2011-10-10,01:30:00,Monday,Buy,1653.15,1635.25,17.9,41.8,2.34,39,Stop Loss,17
2010-10-08,13:30:00,Friday,Buy,1341.6,1324.57,17.0,45.5,2.67,55,Stop Loss,17
2011-07-06,14:30:00,Wednesday,Buy,1527.23,1509.9,17.3,393.57,22.71,2732,Stop Loss,17
