date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,distance_rounded
2012-06-21,18:30:00,Thursday,Sell,1568.81,1589.15,20.3,20.95,1.03,35,Stop Loss,20
2024-09-06,13:30:00,Friday,Sell,2509.09,2529.37,20.3,24.1,1.19,24,Stop Loss,20
2020-06-03,14:30:00,Wednesday,Sell,1705.47,1726.23,20.8,35.12,1.69,31,Stop Loss,20
2024-03-21,13:30:00,Thursday,Sell,2191.65,2211.89,20.2,34.67,1.71,30,Stop Loss,20
2022-05-12,18:30:00,Thursday,Sell,1822.72,1843.39,20.7,36.22,1.75,30,Stop Loss,20
2020-09-23,05:30:00,Wednesday,Sell,1884.99,1905.2,20.2,36.5,1.81,38,Stop Loss,20
2011-11-21,10:30:00,Monday,Sell,1706.02,1726.57,20.6,39.65,1.93,37,Stop Loss,20
2024-08-20,17:30:00,Tuesday,Sell,2510.29,2530.34,20.1,39.55,1.97,101,Stop Loss,20
2013-05-10,14:30:00,Friday,Sell,1429.99,1450.85,20.9,383.76,18.4,9542,Stop Loss,20
2022-02-24,18:30:00,Thursday,Sell,1919.81,1940.75,20.9,42.03,2.01,18,Stop Loss,20
2012-03-13,21:30:00,Tuesday,Sell,1673.55,1694.15,20.6,45.64,2.22,57,Stop Loss,20
2021-03-01,18:30:00,Monday,Sell,1722.66,1742.64,20.0,45.97,2.3,73,Stop Loss,20
2025-09-03,21:30:00,Wednesday,Sell,3558.25,3578.66,20.4,47.14,2.31,10,Stop Loss,20
2020-11-24,10:30:00,Tuesday,Sell,1812.47,1833.05,20.6,48.25,2.34,39,Stop Loss,20
2024-10-04,17:30:00,Friday,Sell,2649.77,2670.29,20.5,47.96,2.34,45,Stop Loss,20
2025-05-15,01:30:00,Thursday,Sell,3172.09,3192.82,20.7,51.23,2.47,3,Stop Loss,20
2020-03-30,02:30:00,Monday,Sell,1611.52,1631.68,20.2,51.39,2.55,32,Stop Loss,20
2025-07-03,01:30:00,Thursday,Sell,3345.77,3365.76,20.0,63.0,3.15,40,Stop Loss,20
2011-11-17,14:30:00,Thursday,Sell,1739.8,1760.52,20.7,73.43,3.54,63,Stop Loss,20
2010-11-09,18:30:00,Tuesday,Sell,1403.95,1424.7,20.8,74.25,3.58,114,Stop Loss,20
2020-03-16,09:30:00,Monday,Sell,1526.95,1547.64,20.7,75.87,3.67,8,Stop Loss,20
2025-04-30,01:30:00,Wednesday,Sell,3307.9,3328.02,20.1,106.03,5.27,22,Stop Loss,20
2024-12-12,02:30:00,Thursday,Sell,2705.57,2726.15,20.6,123.35,5.99,154,Stop Loss,20
2011-12-12,06:30:00,Monday,Sell,1689.35,1710.0,20.6,166.85,8.08,184,Stop Loss,20
2011-08-23,10:30:00,Tuesday,Sell,1882.88,1903.55,20.7,179.98,8.71,54,Stop Loss,20
2020-03-11,17:30:00,Wednesday,Sell,1643.17,1663.22,20.1,192.09,9.58,109,Stop Loss,20
2010-04-16,18:30:00,Friday,Sell,1134.55,1155.1,20.6,10.86,SL,30,Stop Loss,20
2010-06-21,18:30:00,Monday,Sell,1235.95,1256.75,20.8,11.3,SL,24,Stop Loss,20
2010-11-03,17:30:00,Wednesday,Sell,1336.8,1356.95,20.1,11.45,SL,3,Stop Loss,20
2011-09-28,01:30:00,Wednesday,Sell,1633.15,1653.3,20.1,1.6,SL,2,Stop Loss,20
2012-02-29,22:30:00,Wednesday,Sell,1696.4,1716.8,20.4,3.99,SL,1,Stop Loss,20
2013-04-16,22:30:00,Tuesday,Sell,1366.95,1387.54,20.6,2.01,SL,4,Stop Loss,20
2013-05-01,14:30:00,Wednesday,Sell,1451.51,1472.04,20.5,11.16,SL,6,Stop Loss,20
2013-07-31,14:30:00,Wednesday,Sell,1313.28,1333.93,20.6,7.63,SL,2,Stop Loss,20
2020-02-25,22:30:00,Tuesday,Sell,1632.99,1653.69,20.7,0.0,SL,3,Stop Loss,20
2020-04-21,10:30:00,Tuesday,Sell,1677.8,1697.86,20.1,18.38,SL,6,Stop Loss,20
2020-08-20,10:30:00,Thursday,Sell,1930.57,1950.84,20.3,6.18,SL,2,Stop Loss,20
2020-12-28,18:30:00,Monday,Sell,1875.7,1896.52,20.8,4.69,SL,14,Stop Loss,20
2024-11-26,14:30:00,Tuesday,Sell,2622.17,2642.16,20.0,2.7,SL,4,Stop Loss,20
2025-08-06,09:30:00,Wednesday,Sell,3358.6,3378.83,20.2,0.53,SL,2,Stop Loss,20
2025-08-08,17:30:00,Friday,Sell,3380.79,3401.25,20.5,4.53,SL,1,Stop Loss,20
2025-09-01,09:30:00,Monday,Sell,3469.07,3490.02,20.9,3.01,SL,4,Stop Loss,20
2025-09-09,21:30:00,Tuesday,Sell,3624.45,3645.28,20.8,4.14,SL,2,Stop Loss,20
