date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,hour
2012-10-02,09:30:00,Tuesday,Buy,1779.56,1774.9,4.66,4.69,1.01,1,Stop Loss,09
2018-09-24,09:30:00,Monday,Buy,1198.98,1194.12,4.86,5.08,1.05,13,Stop Loss,09
2015-10-20,09:30:00,Tuesday,Buy,1174.76,1169.01,5.75,6.1,1.06,7,Stop Loss,09
2021-10-07,09:30:00,Thursday,Buy,1760.03,1755.69,4.34,4.58,1.06,1,Stop Loss,09
2025-08-19,09:30:00,Tuesday,Buy,3339.49,3334.13,5.36,5.75,1.07,1,Stop Loss,09
2018-10-26,09:30:00,Friday,Buy,1236.83,1230.81,6.02,6.52,1.08,6,Stop Loss,09
2021-10-01,09:30:00,Friday,Buy,1755.07,1750.76,4.31,4.71,1.09,1,Stop Loss,09
2024-05-06,09:30:00,Monday,Buy,2321.29,2311.42,9.87,10.71,1.09,7,Stop Loss,09
2025-08-22,09:30:00,Friday,Buy,3330.26,3325.06,5.2,5.71,1.1,1,Stop Loss,09
2018-10-16,09:30:00,Tuesday,Buy,1228.53,1225.12,3.41,3.76,1.1,3,Stop Loss,09
2016-10-12,09:30:00,Wednesday,Buy,1255.82,1253.33,2.49,2.79,1.12,1,Stop Loss,09
2016-10-27,09:30:00,Thursday,Buy,1269.88,1267.42,2.46,2.75,1.12,1,Stop Loss,09
2023-10-23,09:30:00,Monday,Buy,1977.77,1974.19,3.58,4.14,1.16,1,Stop Loss,09
2020-10-26,09:30:00,Monday,Buy,1902.96,1895.81,7.15,8.34,1.17,13,Stop Loss,09
2014-09-29,09:30:00,Monday,Buy,1219.11,1215.65,3.46,4.1,1.18,3,Stop Loss,09
2012-03-15,09:30:00,Thursday,Buy,1645.66,1641.8,3.86,4.57,1.18,1,Stop Loss,09
2012-10-31,09:30:00,Wednesday,Buy,1718.12,1710.78,7.34,8.77,1.19,11,Stop Loss,09
2019-10-08,09:30:00,Tuesday,Buy,1501.26,1488.36,12.9,15.7,1.22,19,Stop Loss,09
2015-10-27,09:30:00,Tuesday,Buy,1166.08,1163.96,2.12,2.59,1.22,1,Stop Loss,09
2019-10-31,09:30:00,Thursday,Buy,1505.4,1496.71,8.69,10.65,1.23,19,Stop Loss,09
2020-10-16,09:30:00,Friday,Buy,1907.6,1902.52,5.08,6.27,1.23,2,Stop Loss,09
2023-09-13,09:30:00,Wednesday,Buy,1911.34,1907.93,3.41,4.29,1.26,1,Stop Loss,09
2024-04-25,09:30:00,Thursday,Buy,2325.04,2317.43,7.61,9.63,1.27,1,Stop Loss,09
2022-10-17,09:30:00,Monday,Buy,1657.05,1648.22,8.83,11.3,1.28,3,Stop Loss,09
2013-09-26,09:30:00,Thursday,Buy,1332.67,1328.39,4.28,5.47,1.28,2,Stop Loss,09
2012-11-01,09:30:00,Thursday,Buy,1722.62,1719.29,3.33,4.27,1.28,1,Stop Loss,09
2024-10-02,09:30:00,Wednesday,Buy,2652.98,2646.88,6.1,7.78,1.28,1,Stop Loss,09
2020-10-08,09:30:00,Thursday,Buy,1892.63,1886.43,6.2,7.95,1.28,2,Stop Loss,09
2022-10-20,09:30:00,Thursday,Buy,1635.0,1626.73,8.27,10.55,1.28,3,Stop Loss,09
2023-04-18,09:30:00,Tuesday,Buy,2001.3,1997.8,3.5,4.49,1.28,1,Stop Loss,09
2025-04-08,09:30:00,Tuesday,Buy,3006.84,2994.65,12.19,15.72,1.29,2,Stop Loss,09
