date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,hour
2020-10-16,13:30:00,Friday,Sell,1905.58,1914.07,8.49,8.5,1.0,6,Stop Loss,13
2015-10-07,13:30:00,Wednesday,Sell,1145.2,1153.82,8.62,8.67,1.01,11,Stop Loss,13
2010-10-20,13:30:00,Wednesday,Sell,1338.8,1342.75,3.95,4.15,1.05,1,Stop Loss,13
2024-08-26,13:30:00,Monday,Sell,2515.62,2527.19,11.57,12.18,1.05,9,Stop Loss,13
2019-03-11,13:30:00,Monday,Sell,1293.81,1297.08,3.27,3.43,1.05,4,Stop Loss,13
2020-10-19,13:30:00,Monday,Sell,1906.93,1918.66,11.73,12.58,1.07,10,Stop Loss,13
2024-03-15,13:30:00,Friday,Sell,2159.86,2172.84,12.98,13.91,1.07,20,Stop Loss,13
2024-03-14,13:30:00,Thursday,Sell,2162.21,2171.03,8.82,9.56,1.08,5,Stop Loss,13
2012-10-03,13:30:00,Wednesday,Sell,1777.71,1781.9,4.19,4.52,1.08,4,Stop Loss,13
2016-09-29,13:30:00,Thursday,Sell,1319.11,1322.07,2.96,3.19,1.08,1,Stop Loss,13
2023-03-21,13:30:00,Tuesday,Sell,1952.58,1969.58,17.0,18.42,1.08,8,Stop Loss,13
2025-08-12,13:30:00,Tuesday,Sell,3345.14,3358.1,12.96,14.14,1.09,1,Stop Loss,13
2024-08-14,13:30:00,Wednesday,Sell,2457.15,2480.2,23.05,25.07,1.09,12,Stop Loss,13
2013-10-01,13:30:00,Tuesday,Sell,1294.21,1332.93,38.72,42.67,1.1,90,Stop Loss,13
2022-11-01,13:30:00,Tuesday,Sell,1650.0,1657.12,7.12,8.05,1.13,6,Stop Loss,13
2025-04-17,13:30:00,Thursday,Sell,3314.82,3342.27,27.45,31.08,1.13,3,Stop Loss,13
2021-09-23,13:30:00,Thursday,Sell,1750.92,1776.66,25.74,29.4,1.14,66,Stop Loss,13
2025-06-30,13:30:00,Monday,Sell,3284.48,3289.08,4.6,5.24,1.14,1,Stop Loss,13
2010-09-23,13:30:00,Thursday,Sell,1290.4,1293.0,2.6,3.0,1.15,1,Stop Loss,13
2015-09-30,13:30:00,Wednesday,Sell,1115.22,1124.44,9.22,10.73,1.16,12,Stop Loss,13
2025-07-30,13:30:00,Wednesday,Sell,3302.91,3333.12,30.21,35.02,1.16,12,Stop Loss,13
2023-10-27,13:30:00,Friday,Sell,1982.7,1986.33,3.63,4.23,1.17,1,Stop Loss,13
2023-08-31,13:30:00,Thursday,Sell,1943.47,1948.05,4.58,5.38,1.17,6,Stop Loss,13
2025-04-16,13:30:00,Wednesday,Sell,3311.37,3316.58,5.21,6.16,1.18,1,Stop Loss,13
2024-06-28,13:30:00,Friday,Sell,2330.02,2339.83,9.81,11.62,1.18,17,Stop Loss,13
2019-10-10,13:30:00,Thursday,Sell,1494.38,1511.65,17.27,20.5,1.19,66,Stop Loss,13
2024-09-06,13:30:00,Friday,Sell,2509.09,2529.37,20.28,24.1,1.19,24,Stop Loss,13
2022-10-19,13:30:00,Wednesday,Sell,1633.13,1642.14,9.01,10.82,1.2,7,Stop Loss,13
2009-10-27,13:30:00,Tuesday,Sell,1035.65,1043.05,7.4,9.06,1.22,13,Stop Loss,13
2023-04-06,13:30:00,Thursday,Sell,2003.43,2021.06,17.63,21.86,1.24,18,Stop Loss,13
2022-10-31,13:30:00,Monday,Sell,1637.03,1642.18,5.15,6.51,1.26,5,Stop Loss,13
2023-03-29,13:30:00,Wednesday,Sell,1965.42,1969.3,3.88,4.89,1.26,1,Stop Loss,13
2023-06-22,13:30:00,Thursday,Sell,1921.84,1931.11,9.27,11.8,1.27,6,Stop Loss,13
2025-05-19,13:30:00,Monday,Sell,3229.65,3248.72,19.07,25.08,1.32,6,Stop Loss,13
2010-10-27,13:30:00,Wednesday,Sell,1328.45,1335.65,7.2,9.5,1.32,6,Stop Loss,13
2024-09-05,13:30:00,Thursday,Sell,2514.36,2523.58,9.22,12.23,1.33,6,Stop Loss,13
2025-07-15,13:30:00,Tuesday,Sell,3346.5,3366.45,19.95,26.81,1.34,7,Stop Loss,13
2017-03-13,13:30:00,Monday,Sell,1203.97,1208.98,5.01,6.75,1.35,14,Stop Loss,13
2012-09-28,13:30:00,Friday,Sell,1774.05,1782.0,7.96,10.8,1.36,6,Stop Loss,13
2019-11-01,13:30:00,Friday,Sell,1510.03,1512.1,2.07,2.83,1.37,1,Stop Loss,13
2025-04-04,13:30:00,Friday,Sell,3061.44,3136.67,75.23,105.22,1.4,25,Stop Loss,13
2014-09-24,13:30:00,Wednesday,Sell,1217.68,1225.7,8.02,11.19,1.4,9,Stop Loss,13
2017-10-17,13:30:00,Tuesday,Sell,1284.5,1290.32,5.82,8.21,1.41,14,Stop Loss,13
2010-10-07,13:30:00,Thursday,Sell,1346.4,1361.77,15.37,21.63,1.41,24,Stop Loss,13
2016-03-14,13:30:00,Monday,Sell,1246.09,1260.6,14.51,20.57,1.42,14,Stop Loss,13
2011-10-07,13:30:00,Friday,Sell,1648.65,1664.38,15.73,22.45,1.43,6,Stop Loss,13
2012-11-02,13:30:00,Friday,Sell,1694.66,1710.05,15.39,22.16,1.44,13,Stop Loss,13
2023-07-21,13:30:00,Friday,Sell,1961.29,1968.24,6.95,10.0,1.44,17,Stop Loss,13
2025-05-02,13:30:00,Friday,Sell,3250.28,3269.23,18.95,27.53,1.45,3,Stop Loss,13
2025-05-14,13:30:00,Wednesday,Sell,3191.08,3239.29,48.21,70.22,1.46,8,Stop Loss,13
2024-04-01,13:30:00,Monday,Sell,2246.16,2258.0,11.84,17.77,1.5,4,Stop Loss,13
2014-10-09,13:30:00,Thursday,Sell,1226.96,1233.42,6.46,9.71,1.5,9,Stop Loss,13
2021-10-19,13:30:00,Tuesday,Sell,1777.85,1785.18,7.33,11.13,1.52,6,Stop Loss,13
2010-09-30,13:30:00,Thursday,Sell,1308.05,1316.0,7.95,12.2,1.53,5,Stop Loss,13
2024-07-19,13:30:00,Friday,Sell,2403.56,2416.49,12.93,19.78,1.53,16,Stop Loss,13
2024-10-24,13:30:00,Thursday,Sell,2733.13,2743.39,10.26,16.21,1.58,7,Stop Loss,13
2019-03-21,13:30:00,Thursday,Sell,1312.69,1318.66,5.97,9.53,1.6,12,Stop Loss,13
2025-06-27,13:30:00,Friday,Sell,3274.1,3291.14,17.04,27.26,1.6,4,Stop Loss,13
2019-10-22,13:30:00,Tuesday,Sell,1486.58,1489.04,2.46,3.93,1.6,3,Stop Loss,13
2013-10-09,13:30:00,Wednesday,Sell,1305.57,1312.44,6.87,10.96,1.6,1,Stop Loss,13
2020-09-23,13:30:00,Wednesday,Sell,1877.3,1895.09,17.79,28.81,1.62,25,Stop Loss,13
2024-06-21,13:30:00,Friday,Sell,2340.1,2368.82,28.72,46.6,1.62,60,Stop Loss,13
2013-11-01,13:30:00,Friday,Sell,1313.56,1318.23,4.67,7.58,1.62,6,Stop Loss,13
2023-10-05,13:30:00,Thursday,Sell,1820.38,1824.11,3.73,6.08,1.63,4,Stop Loss,13
2021-09-29,13:30:00,Wednesday,Sell,1736.49,1745.59,9.1,14.97,1.65,7,Stop Loss,13
2023-05-22,13:30:00,Monday,Sell,1971.2,1981.55,10.35,17.05,1.65,12,Stop Loss,13
2016-10-04,13:30:00,Tuesday,Sell,1284.5,1310.53,26.03,43.23,1.66,153,Stop Loss,13
2020-10-02,13:30:00,Friday,Sell,1902.64,1912.04,9.4,15.69,1.67,7,Stop Loss,13
2025-08-18,13:30:00,Monday,Sell,3336.64,3351.57,14.93,25.12,1.68,15,Stop Loss,13
2023-06-20,13:30:00,Tuesday,Sell,1931.65,1954.67,23.02,38.77,1.68,96,Stop Loss,13
2010-11-01,13:30:00,Monday,Sell,1358.7,1364.4,5.7,9.6,1.68,12,Stop Loss,13
2017-10-26,13:30:00,Thursday,Sell,1273.91,1280.06,6.15,10.5,1.71,23,Stop Loss,13
2023-08-09,13:30:00,Wednesday,Sell,1922.55,1926.68,4.13,7.06,1.71,1,Stop Loss,13
2024-03-21,13:30:00,Thursday,Sell,2191.65,2211.89,20.24,34.67,1.71,30,Stop Loss,13
2022-03-16,13:30:00,Wednesday,Sell,1915.23,1927.07,11.84,20.34,1.72,2,Stop Loss,13
2023-08-14,13:30:00,Monday,Sell,1903.91,1915.09,11.18,19.23,1.72,42,Stop Loss,13
2009-03-10,13:30:00,Tuesday,Sell,907.14,916.27,9.13,15.81,1.73,12,Stop Loss,13
2024-10-23,13:30:00,Wednesday,Sell,2736.98,2753.04,16.06,28.43,1.77,22,Stop Loss,13
2018-09-26,13:30:00,Wednesday,Sell,1196.13,1199.39,3.26,5.76,1.77,2,Stop Loss,13
2025-07-14,13:30:00,Monday,Sell,3354.94,3374.76,19.82,35.25,1.78,13,Stop Loss,13
2025-03-24,13:30:00,Monday,Sell,3022.3,3033.46,11.16,19.9,1.78,7,Stop Loss,13
2013-03-20,13:30:00,Wednesday,Sell,1608.0,1612.6,4.6,8.3,1.8,6,Stop Loss,13
2025-08-19,13:30:00,Tuesday,Sell,3333.64,3345.44,11.8,22.12,1.87,6,Stop Loss,13
2011-10-04,13:30:00,Tuesday,Sell,1644.65,1670.9,26.25,49.2,1.87,24,Stop Loss,13
2024-04-15,13:30:00,Monday,Sell,2348.41,2361.37,12.96,24.39,1.88,1,Stop Loss,13
2025-04-07,13:30:00,Monday,Sell,3015.22,3046.18,30.96,59.0,1.91,11,Stop Loss,13
2025-07-31,13:30:00,Thursday,Sell,3301.12,3311.25,10.13,19.57,1.93,6,Stop Loss,13
2023-05-26,13:30:00,Friday,Sell,1946.54,1954.02,7.48,14.59,1.95,12,Stop Loss,13
2011-10-20,13:30:00,Thursday,Sell,1621.35,1630.3,8.95,17.6,1.97,6,Stop Loss,13
2016-09-28,13:30:00,Wednesday,Sell,1323.29,1327.06,3.77,7.44,1.97,11,Stop Loss,13
2017-10-04,13:30:00,Wednesday,Sell,1275.01,1282.33,7.32,14.49,1.98,16,Stop Loss,13
2017-09-27,13:30:00,Wednesday,Sell,1282.75,1293.92,11.17,22.23,1.99,55,Stop Loss,13
2019-09-30,13:30:00,Monday,Sell,1485.79,1488.42,2.63,26.82,10.2,12,Stop Loss,13
