date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,hour
2024-02-08,18:30:00,Thursday,Buy,2032.21,2027.3,4.91,4.93,1.0,5,Stop Loss,18
2016-02-01,18:30:00,Monday,Buy,1127.27,1124.11,3.16,3.16,1.0,4,Stop Loss,18
2017-08-11,18:30:00,Friday,Buy,1288.26,1284.84,3.42,3.43,1.0,4,Stop Loss,18
2021-05-25,18:30:00,Tuesday,Buy,1898.14,1883.73,14.41,14.48,1.0,17,Stop Loss,18
2014-07-25,18:30:00,Friday,Buy,1302.46,1292.9,9.56,9.61,1.01,17,Stop Loss,18
2019-02-07,18:30:00,Thursday,Buy,1310.73,1306.0,4.73,4.8,1.01,11,Stop Loss,18
2024-02-12,18:30:00,Monday,Buy,2021.59,2011.59,10.0,10.13,1.01,5,Stop Loss,18
2022-01-13,18:30:00,Thursday,Buy,1820.45,1812.01,8.44,8.55,1.01,16,Stop Loss,18
2021-06-08,18:30:00,Tuesday,Buy,1892.72,1886.63,6.09,6.17,1.01,8,Stop Loss,18
2018-05-04,18:30:00,Friday,Buy,1314.04,1309.29,4.75,4.8,1.01,10,Stop Loss,18
2017-04-26,18:30:00,Wednesday,Buy,1265.03,1259.14,5.89,6.01,1.02,18,Stop Loss,18
2018-03-27,18:30:00,Tuesday,Buy,1343.73,1340.57,3.16,3.22,1.02,4,Stop Loss,18
2019-03-26,18:30:00,Tuesday,Buy,1315.74,1313.08,2.66,2.7,1.02,4,Stop Loss,18
2015-12-01,18:30:00,Tuesday,Buy,1067.43,1063.48,3.95,4.03,1.02,5,Stop Loss,18
2020-03-27,18:30:00,Friday,Buy,1622.36,1613.52,8.84,9.12,1.03,2,Stop Loss,18
2014-05-16,18:30:00,Friday,Buy,1292.44,1291.03,1.41,1.45,1.03,2,Stop Loss,18
2019-02-19,18:30:00,Tuesday,Buy,1340.25,1334.1,6.15,6.36,1.03,10,Stop Loss,18
2011-02-21,18:30:00,Monday,Buy,1406.75,1402.5,4.25,4.4,1.04,3,Stop Loss,18
2012-12-13,18:30:00,Thursday,Buy,1696.1,1692.0,4.1,4.28,1.04,8,Stop Loss,18
2010-04-13,18:30:00,Tuesday,Buy,1153.05,1144.64,8.41,8.75,1.04,18,Stop Loss,18
2015-06-24,18:30:00,Wednesday,Buy,1174.74,1171.04,3.7,3.84,1.04,10,Stop Loss,18
2010-04-26,18:30:00,Monday,Buy,1153.64,1150.44,3.2,3.35,1.05,4,Stop Loss,18
2024-02-06,18:30:00,Tuesday,Buy,2036.69,2029.3,7.39,7.76,1.05,10,Stop Loss,18
2010-04-09,18:30:00,Friday,Buy,1160.15,1151.4,8.75,9.2,1.05,9,Stop Loss,18
2021-07-27,18:30:00,Tuesday,Buy,1801.8,1794.27,7.53,7.9,1.05,7,Stop Loss,18
2021-01-04,18:30:00,Monday,Buy,1943.74,1928.96,14.78,15.59,1.05,11,Stop Loss,18
2022-01-24,18:30:00,Monday,Buy,1841.16,1829.34,11.82,12.57,1.06,12,Stop Loss,18
2015-07-24,18:30:00,Friday,Buy,1092.44,1080.59,11.85,12.54,1.06,28,Stop Loss,18
2021-07-23,18:30:00,Friday,Buy,1802.79,1794.57,8.22,8.71,1.06,9,Stop Loss,18
2020-04-06,18:30:00,Monday,Buy,1656.82,1642.59,14.23,15.13,1.06,5,Stop Loss,18
2010-01-22,18:30:00,Friday,Buy,1092.74,1081.94,10.8,11.46,1.06,19,Stop Loss,18
2025-01-10,18:30:00,Friday,Buy,2687.35,2681.81,5.54,5.86,1.06,2,Stop Loss,18
2011-01-11,18:30:00,Tuesday,Buy,1382.45,1372.35,10.1,10.7,1.06,13,Stop Loss,18
2013-04-25,18:30:00,Thursday,Buy,1466.2,1448.33,17.87,19.1,1.07,6,Stop Loss,18
2011-07-26,18:30:00,Tuesday,Buy,1617.75,1607.65,10.1,10.85,1.07,12,Stop Loss,18
2010-03-22,18:30:00,Monday,Buy,1099.75,1092.1,7.65,8.2,1.07,11,Stop Loss,18
2010-08-16,18:30:00,Monday,Buy,1225.0,1221.4,3.6,3.9,1.08,10,Stop Loss,18
2010-11-10,18:30:00,Wednesday,Buy,1400.1,1383.8,16.3,17.65,1.08,9,Stop Loss,18
2015-11-25,18:30:00,Wednesday,Buy,1071.0,1067.53,3.47,3.78,1.09,8,Stop Loss,18
2023-12-06,18:30:00,Wednesday,Buy,2030.71,2022.38,8.33,9.12,1.09,6,Stop Loss,18
2017-02-03,18:30:00,Friday,Buy,1217.31,1214.94,2.37,2.61,1.1,1,Stop Loss,18
2024-01-04,18:30:00,Thursday,Buy,2043.25,2038.81,4.44,4.89,1.1,4,Stop Loss,18
2013-11-21,18:30:00,Thursday,Buy,1243.52,1238.66,4.86,5.33,1.1,8,Stop Loss,18
2018-06-05,18:30:00,Tuesday,Buy,1299.3,1290.28,9.02,9.91,1.1,47,Stop Loss,18
2022-05-19,18:30:00,Thursday,Buy,1841.61,1839.04,2.57,2.82,1.1,2,Stop Loss,18
