date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,hour
2024-08-19,01:30:00,Monday,Sell,2497.93,2510.24,12.31,12.4,1.01,8,Stop Loss,01
2024-09-02,01:30:00,Monday,Sell,2497.67,2505.12,7.45,7.74,1.04,2,Stop Loss,01
2024-04-29,01:30:00,Monday,Sell,2330.65,2337.47,6.82,7.18,1.05,2,Stop Loss,01
2015-10-13,01:30:00,Tuesday,Sell,1158.04,1164.02,5.98,6.29,1.05,3,Stop Loss,01
2015-10-08,01:30:00,Thursday,Sell,1143.55,1150.18,6.63,7.02,1.06,5,Stop Loss,01
2023-10-03,01:30:00,Tuesday,Sell,1822.66,1829.74,7.08,7.53,1.06,3,Stop Loss,01
2025-06-20,01:30:00,Friday,Sell,3356.07,3370.76,14.69,15.78,1.07,3,Stop Loss,01
2024-03-18,01:30:00,Monday,Sell,2152.0,2157.63,5.63,6.05,1.07,3,Stop Loss,01
2021-10-07,01:30:00,Thursday,Sell,1760.24,1764.3,4.06,4.35,1.07,2,Stop Loss,01
2021-10-27,01:30:00,Wednesday,Sell,1789.09,1794.44,5.35,5.7,1.07,3,Stop Loss,01
2024-05-21,01:30:00,Tuesday,Sell,2420.08,2433.26,13.18,14.25,1.08,4,Stop Loss,01
2018-03-19,01:30:00,Monday,Sell,1311.26,1314.56,3.3,3.57,1.08,4,Stop Loss,01
2015-10-16,01:30:00,Friday,Sell,1179.45,1183.26,3.81,4.18,1.1,3,Stop Loss,01
2012-10-03,01:30:00,Wednesday,Sell,1772.85,1774.75,1.9,2.1,1.11,1,Stop Loss,01
2019-10-09,01:30:00,Wednesday,Sell,1504.91,1509.47,4.56,5.12,1.12,2,Stop Loss,01
2025-04-17,01:30:00,Thursday,Sell,3323.52,3358.03,34.51,39.78,1.15,6,Stop Loss,01
2025-03-24,01:30:00,Monday,Sell,3020.5,3026.46,5.96,6.86,1.15,2,Stop Loss,01
2013-03-13,01:30:00,Wednesday,Sell,1592.0,1594.19,2.19,2.55,1.16,2,Stop Loss,01
2023-07-19,01:30:00,Wednesday,Sell,1976.34,1979.3,2.96,3.44,1.16,2,Stop Loss,01
2025-09-08,01:30:00,Monday,Sell,3589.23,3597.31,8.08,9.63,1.19,2,Stop Loss,01
2018-10-01,01:30:00,Monday,Sell,1188.82,1192.48,3.66,4.34,1.19,7,Stop Loss,01
2022-10-11,01:30:00,Tuesday,Sell,1667.86,1673.66,5.8,7.1,1.22,4,Stop Loss,01
2020-10-15,01:30:00,Thursday,Sell,1896.83,1902.66,5.83,7.16,1.23,2,Stop Loss,01
2025-04-07,01:30:00,Monday,Sell,3037.98,3054.93,16.95,21.04,1.24,1,Stop Loss,01
2024-03-22,01:30:00,Friday,Sell,2173.2,2186.19,12.99,16.22,1.25,14,Stop Loss,01
2017-10-02,01:30:00,Monday,Sell,1274.88,1280.19,5.31,6.67,1.26,15,Stop Loss,01
2022-09-28,01:30:00,Wednesday,Sell,1623.64,1630.66,7.02,9.0,1.28,3,Stop Loss,01
2019-03-20,01:30:00,Wednesday,Sell,1304.69,1307.13,2.44,3.16,1.3,3,Stop Loss,01
2010-10-29,01:30:00,Friday,Sell,1340.7,1344.85,4.15,5.4,1.3,3,Stop Loss,01
2011-10-20,01:30:00,Thursday,Sell,1627.28,1645.25,17.97,23.53,1.31,9,Stop Loss,01
2023-04-10,01:30:00,Monday,Sell,1996.53,2007.87,11.34,14.96,1.32,12,Stop Loss,01
2023-05-10,01:30:00,Wednesday,Sell,2032.57,2038.32,5.75,7.65,1.33,3,Stop Loss,01
2024-07-31,01:30:00,Wednesday,Sell,2408.81,2412.4,3.59,4.81,1.34,1,Stop Loss,01
2025-05-20,01:30:00,Tuesday,Sell,3220.86,3232.86,12.0,16.29,1.36,2,Stop Loss,01
2022-10-13,01:30:00,Thursday,Sell,1671.92,1675.54,3.62,4.98,1.38,2,Stop Loss,01
2020-10-16,01:30:00,Friday,Sell,1907.43,1910.76,3.33,4.71,1.41,2,Stop Loss,01
2011-10-05,01:30:00,Wednesday,Sell,1618.65,1634.65,16.0,22.9,1.43,4,Stop Loss,01
2023-07-31,01:30:00,Monday,Sell,1956.4,1960.61,4.21,6.01,1.43,3,Stop Loss,01
2016-10-21,01:30:00,Friday,Sell,1264.29,1266.54,2.25,3.25,1.44,3,Stop Loss,01
2021-10-01,01:30:00,Friday,Sell,1754.36,1756.83,2.47,3.58,1.45,2,Stop Loss,01
2025-08-27,01:30:00,Wednesday,Sell,3385.92,3394.18,8.26,12.26,1.48,4,Stop Loss,01
2023-09-19,01:30:00,Tuesday,Sell,1932.68,1934.68,2.0,2.96,1.48,2,Stop Loss,01
2009-03-13,01:30:00,Friday,Sell,924.45,927.52,3.07,4.55,1.48,3,Stop Loss,01
2017-10-25,01:30:00,Wednesday,Sell,1274.88,1277.58,2.7,4.0,1.48,3,Stop Loss,01
2025-09-18,01:30:00,Thursday,Sell,3656.8,3672.09,15.29,22.94,1.5,2,Stop Loss,01
2016-10-11,01:30:00,Tuesday,Sell,1258.51,1260.25,1.74,2.67,1.53,2,Stop Loss,01
2018-10-05,01:30:00,Friday,Sell,1199.14,1200.42,1.28,2.02,1.58,2,Stop Loss,01
2024-07-15,01:30:00,Monday,Sell,2409.78,2415.17,5.39,8.54,1.58,3,Stop Loss,01
2024-06-26,01:30:00,Wednesday,Sell,2312.59,2324.14,11.55,19.09,1.65,9,Stop Loss,01
2019-10-01,01:30:00,Tuesday,Sell,1468.91,1474.88,5.97,9.94,1.66,4,Stop Loss,01
2024-09-27,01:30:00,Friday,Sell,2669.21,2673.35,4.14,7.04,1.7,1,Stop Loss,01
2025-08-22,01:30:00,Friday,Sell,3333.79,3340.85,7.06,12.4,1.76,4,Stop Loss,01
2020-09-24,01:30:00,Thursday,Sell,1861.66,1869.03,7.37,13.08,1.77,4,Stop Loss,01
2013-10-25,01:30:00,Friday,Sell,1343.86,1347.96,4.1,7.37,1.8,4,Stop Loss,01
2020-03-19,01:30:00,Thursday,Sell,1484.33,1500.88,16.55,29.87,1.8,8,Stop Loss,01
2024-05-30,01:30:00,Thursday,Sell,2333.76,2340.0,6.24,11.27,1.81,3,Stop Loss,01
2023-07-24,01:30:00,Monday,Sell,1961.16,1963.01,1.85,3.39,1.83,2,Stop Loss,01
2018-10-17,01:30:00,Wednesday,Sell,1224.01,1225.92,1.91,3.5,1.83,2,Stop Loss,01
2012-10-15,01:30:00,Monday,Sell,1744.22,1752.9,8.68,15.95,1.84,13,Stop Loss,01
2023-05-12,01:30:00,Friday,Sell,2011.76,2017.65,5.89,10.99,1.87,3,Stop Loss,01
2024-07-12,01:30:00,Friday,Sell,2407.68,2416.42,8.74,16.34,1.87,4,Stop Loss,01
2014-09-25,01:30:00,Thursday,Sell,1213.41,1217.09,3.68,6.92,1.88,4,Stop Loss,01
2025-08-06,01:30:00,Wednesday,Sell,3375.99,3385.48,9.49,17.92,1.89,8,Stop Loss,01
2025-09-04,01:30:00,Thursday,Sell,3546.09,3564.18,18.09,34.98,1.93,9,Stop Loss,01
2024-10-25,01:30:00,Friday,Sell,2729.7,2736.29,6.59,12.78,1.94,4,Stop Loss,01
2025-06-03,01:30:00,Tuesday,Sell,3372.41,3392.27,19.86,39.4,1.98,15,Stop Loss,01
2018-10-10,01:30:00,Wednesday,Sell,1189.34,1191.43,2.09,4.15,1.99,5,Stop Loss,01
2023-09-05,01:30:00,Tuesday,Sell,1935.57,1938.93,3.36,34.7,10.33,69,Stop Loss,01
2020-10-12,01:30:00,Monday,Sell,1926.85,1933.32,6.47,67.07,10.37,111,Stop Loss,01
2015-09-28,01:30:00,Monday,Sell,1144.53,1148.36,3.83,40.04,10.45,40,Stop Loss,01
2015-09-25,01:30:00,Friday,Sell,1150.17,1153.99,3.82,45.68,11.96,62,Stop Loss,01
2012-10-23,01:30:00,Tuesday,Sell,1725.69,1730.1,4.41,53.19,12.06,68,Stop Loss,01
2023-08-07,01:30:00,Monday,Sell,1942.09,1946.84,4.75,57.41,12.09,105,Stop Loss,01
2012-11-02,01:30:00,Friday,Sell,1713.57,1716.92,3.35,41.07,12.26,16,Stop Loss,01
2022-10-10,01:30:00,Monday,Sell,1693.71,1699.91,6.2,77.2,12.45,130,Stop Loss,01
2010-10-19,01:30:00,Tuesday,Sell,1367.5,1371.2,3.7,52.55,14.2,75,Stop Loss,01
