date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,distance_rounded
2020-01-08,18:30:00,Wednesday,Sell,1555.72,1575.19,19.5,19.94,1.02,71,Stop Loss,19
2025-05-19,13:30:00,Monday,Sell,3229.65,3248.72,19.1,25.08,1.32,6,Stop Loss,19
2025-07-15,13:30:00,Tuesday,Sell,3346.5,3366.45,19.9,26.81,1.34,7,Stop Loss,19
2020-09-03,06:30:00,Thursday,Sell,1932.19,1951.17,19.0,25.87,1.36,31,Stop Loss,19
2013-12-19,10:30:00,Thursday,Sell,1205.21,1224.48,19.3,26.35,1.37,43,Stop Loss,19
2024-08-30,17:30:00,Friday,Sell,2499.31,2518.55,19.2,27.58,1.43,23,Stop Loss,19
2020-03-25,02:30:00,Wednesday,Sell,1617.26,1636.43,19.2,29.56,1.54,10,Stop Loss,19
2022-03-15,05:30:00,Tuesday,Sell,1925.63,1945.48,19.9,30.74,1.55,14,Stop Loss,19
2025-04-04,09:30:00,Friday,Sell,3090.45,3110.08,19.6,30.91,1.57,1,Stop Loss,19
2023-04-14,17:30:00,Friday,Sell,2003.6,2023.46,19.9,34.48,1.74,78,Stop Loss,19
2025-07-14,13:30:00,Monday,Sell,3354.94,3374.76,19.8,35.25,1.78,13,Stop Loss,19
2023-03-24,17:30:00,Friday,Sell,1979.5,1998.53,19.0,35.63,1.87,42,Stop Loss,19
2025-06-03,01:30:00,Tuesday,Sell,3372.41,3392.27,19.9,39.4,1.98,15,Stop Loss,19
2015-11-06,14:30:00,Friday,Sell,1089.98,1109.41,19.4,43.75,2.25,250,Stop Loss,19
2021-09-22,21:30:00,Wednesday,Sell,1767.43,1787.36,19.9,45.91,2.3,89,Stop Loss,19
2012-07-05,14:30:00,Thursday,Sell,1604.2,1624.0,19.8,49.37,2.49,93,Stop Loss,19
2009-03-02,14:30:00,Monday,Sell,932.73,952.12,19.4,48.83,2.52,78,Stop Loss,19
2023-04-14,13:30:00,Friday,Sell,2023.06,2042.33,19.3,53.94,2.8,81,Stop Loss,19
2024-12-17,10:30:00,Tuesday,Sell,2637.97,2657.13,19.2,55.75,2.91,59,Stop Loss,19
2025-05-28,13:30:00,Wednesday,Sell,3304.9,3324.83,19.9,59.66,2.99,7,Stop Loss,19
2013-04-12,22:30:00,Friday,Sell,1485.56,1504.57,19.0,439.33,23.11,9741,Stop Loss,19
2024-07-19,01:30:00,Friday,Sell,2425.82,2445.53,19.7,72.84,3.7,53,Stop Loss,19
2025-04-30,21:30:00,Wednesday,Sell,3288.14,3307.98,19.8,86.27,4.35,15,Stop Loss,19
2016-11-11,18:30:00,Friday,Sell,1222.21,1241.94,19.7,99.7,5.05,362,Stop Loss,19
2013-06-20,18:30:00,Thursday,Sell,1283.83,1303.62,19.8,103.68,5.24,128,Stop Loss,19
2025-06-23,21:30:00,Monday,Sell,3368.34,3387.6,19.3,121.5,6.31,118,Stop Loss,19
2013-11-07,14:30:00,Thursday,Sell,1306.88,1326.53,19.6,128.02,6.52,413,Stop Loss,19
2009-12-04,14:30:00,Friday,Sell,1191.39,1210.69,19.3,147.29,7.63,641,Stop Loss,19
2009-03-03,14:30:00,Tuesday,Sell,909.72,929.63,19.9,9.42,SL,13,Stop Loss,19
2010-06-23,14:30:00,Wednesday,Sell,1227.15,1246.55,19.4,1.9,SL,7,Stop Loss,19
2010-07-06,14:30:00,Tuesday,Sell,1192.5,1211.9,19.4,7.55,SL,19,Stop Loss,19
2011-01-27,18:30:00,Thursday,Sell,1317.85,1337.1,19.2,10.4,SL,6,Stop Loss,19
2011-09-21,14:30:00,Wednesday,Sell,1792.75,1812.2,19.4,14.3,SL,2,Stop Loss,19
2011-09-26,17:30:00,Monday,Sell,1598.0,1617.5,19.5,2.9,SL,1,Stop Loss,19
2011-10-06,13:30:00,Thursday,Sell,1635.4,1655.1,19.7,3.9,SL,4,Stop Loss,19
2011-10-11,09:30:00,Tuesday,Sell,1661.8,1681.05,19.2,5.8,SL,6,Stop Loss,19
2011-11-25,18:30:00,Friday,Sell,1678.85,1697.9,19.1,2.35,SL,2,Stop Loss,19
2012-03-09,14:30:00,Friday,Sell,1682.63,1702.18,19.6,0.22,SL,1,Stop Loss,19
2012-03-28,18:30:00,Wednesday,Sell,1658.2,1677.78,19.6,13.33,SL,18,Stop Loss,19
2012-05-30,14:30:00,Wednesday,Sell,1537.3,1556.98,19.7,0.5,SL,1,Stop Loss,19
2012-09-26,13:30:00,Wednesday,Sell,1746.15,1765.65,19.5,10.1,SL,6,Stop Loss,19
2012-11-02,17:30:00,Friday,Sell,1676.96,1696.13,19.2,4.46,SL,12,Stop Loss,19
2012-12-20,14:30:00,Thursday,Sell,1651.84,1670.9,19.1,16.41,SL,36,Stop Loss,19
2013-01-11,14:30:00,Friday,Sell,1657.71,1676.99,19.3,4.42,SL,11,Stop Loss,19
2013-05-07,14:30:00,Tuesday,Sell,1446.43,1465.49,19.1,5.13,SL,6,Stop Loss,19
2014-11-05,06:30:00,Wednesday,Sell,1147.87,1167.17,19.3,17.77,SL,15,Stop Loss,19
2019-07-31,22:30:00,Wednesday,Sell,1411.26,1430.98,19.7,10.88,SL,5,Stop Loss,19
2019-09-12,18:30:00,Thursday,Sell,1498.11,1518.02,19.9,15.05,SL,38,Stop Loss,19
2019-11-07,18:30:00,Thursday,Sell,1465.02,1484.72,19.7,19.51,SL,147,Stop Loss,19
2020-03-10,05:30:00,Tuesday,Sell,1651.42,1670.76,19.3,10.05,SL,8,Stop Loss,19
2020-08-05,18:30:00,Wednesday,Sell,2036.75,2055.85,19.1,2.33,SL,5,Stop Loss,19
2020-08-12,06:30:00,Wednesday,Sell,1880.01,1899.18,19.2,0.0,SL,1,Stop Loss,19
2021-06-29,14:30:00,Tuesday,Sell,1756.18,1775.97,19.8,3.89,SL,10,Stop Loss,19
2021-11-03,13:30:00,Wednesday,Sell,1766.73,1785.74,19.0,8.07,SL,6,Stop Loss,19
2022-03-10,02:30:00,Thursday,Sell,1974.46,1993.61,19.1,1.79,SL,2,Stop Loss,19
2022-04-11,14:30:00,Monday,Sell,1950.98,1969.96,19.0,10.23,SL,6,Stop Loss,19
2022-04-27,14:30:00,Wednesday,Sell,1887.84,1907.1,19.3,15.93,SL,10,Stop Loss,19
2023-01-12,14:30:00,Thursday,Sell,1882.08,1901.82,19.7,1.8,SL,5,Stop Loss,19
2023-05-18,13:30:00,Thursday,Sell,1959.69,1979.07,19.4,7.85,SL,7,Stop Loss,19
2023-12-15,18:30:00,Friday,Sell,2019.35,2038.71,19.4,4.05,SL,11,Stop Loss,19
2024-04-17,21:30:00,Wednesday,Sell,2359.76,2379.26,19.5,0.0,SL,3,Stop Loss,19
2025-03-14,13:30:00,Friday,Sell,2985.3,3004.99,19.7,6.91,SL,9,Stop Loss,19
2025-05-26,09:30:00,Monday,Sell,3328.35,3347.68,19.3,2.04,SL,4,Stop Loss,19
2025-06-10,17:30:00,Tuesday,Sell,3324.49,3343.84,19.4,9.07,SL,4,Stop Loss,19
2025-08-19,17:30:00,Tuesday,Sell,3317.21,3337.1,19.9,5.69,SL,5,Stop Loss,19
2025-09-02,09:30:00,Tuesday,Sell,3476.57,3496.01,19.4,2.2,SL,2,Stop Loss,19
