date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk,candles_held,close_reason,distance_rounded
2009-02-24,22:30:00,Tuesday,Buy,963.5,962.15,1.4,3.86,2.86,1,Stop Loss,1
2009-02-25,18:30:00,Wednesday,Sell,948.9,977.35,28.4,83.93,2.95,289,Stop Loss,28
2009-03-02,18:30:00,Monday,Buy,933.78,931.06,2.7,0.0,SL,1,Stop Loss,2
2009-03-03,22:30:00,Tuesday,Buy,916.35,913.71,2.6,1.43,SL,1,Stop Loss,2
2009-03-05,06:30:00,Thursday,Buy,912.28,910.63,1.6,6.49,3.93,2,Stop Loss,1
2009-03-06,06:30:00,Friday,Buy,938.85,934.85,4.0,5.55,1.39,2,Stop Loss,4
2009-03-09,05:30:00,Monday,Sell,936.33,939.39,3.1,3.55,1.16,1,Stop Loss,3
2009-03-09,09:30:00,Monday,Buy,937.8,932.58,5.2,2.38,SL,2,Stop Loss,5
2009-03-10,05:30:00,Tuesday,Buy,917.28,912.77,4.5,0.27,SL,1,Stop Loss,4
2009-03-10,21:30:00,Tuesday,Buy,898.35,893.76,4.6,0.82,SL,1,Stop Loss,4
2009-03-11,09:30:00,Wednesday,Buy,901.03,896.7,4.3,3.25,SL,1,Stop Loss,4
2009-03-12,05:30:00,Thursday,Buy,913.33,909.2,4.1,17.47,4.23,2,Stop Loss,4
2009-03-16,05:30:00,Monday,Sell,925.08,926.98,1.9,1.98,1.04,1,Stop Loss,1
2009-03-16,17:30:00,Monday,Buy,923.33,917.85,5.5,1.57,SL,5,Stop Loss,5
2009-03-19,17:30:00,Thursday,Buy,956.55,945.25,11.3,10.62,SL,13,Stop Loss,11
2009-03-20,09:30:00,Friday,Buy,960.82,955.04,5.8,0.71,SL,1,Stop Loss,5
2009-03-20,17:30:00,Friday,Sell,956.64,959.6,3.0,91.67,30.97,187,Stop Loss,3
2009-03-23,18:30:00,Monday,Buy,951.15,946.84,4.3,1.4,SL,1,Stop Loss,4
2009-03-24,18:30:00,Tuesday,Buy,923.76,918.49,5.3,15.29,2.9,5,Stop Loss,5
2009-03-25,06:30:00,Wednesday,Sell,926.65,929.8,3.1,9.55,3.03,2,Stop Loss,3
2009-03-25,22:30:00,Wednesday,Buy,934.22,932.55,1.7,3.93,2.35,1,Stop Loss,1
2009-03-26,06:30:00,Thursday,Sell,933.83,934.48,0.7,1.33,2.05,1,Stop Loss,0
2009-03-26,10:30:00,Thursday,Buy,936.84,932.3,4.5,8.71,1.92,4,Stop Loss,4
2009-03-26,18:30:00,Thursday,Buy,938.8,934.75,4.0,1.79,SL,1,Stop Loss,4
2009-03-30,10:30:00,Monday,Sell,923.86,927.35,3.5,14.71,4.21,1,Stop Loss,3
2009-03-30,22:30:00,Monday,Buy,916.04,914.96,1.1,3.93,3.64,1,Stop Loss,1
2009-03-31,10:30:00,Tuesday,Buy,919.0,917.16,1.8,5.76,3.13,1,Stop Loss,1
2009-04-01,06:30:00,Wednesday,Sell,918.92,921.95,3.0,2.04,SL,2,Stop Loss,3
2009-04-02,02:30:00,Thursday,Sell,924.97,928.15,3.2,0.0,SL,1,Stop Loss,3
2009-04-02,10:30:00,Thursday,Sell,915.53,927.6,12.1,50.56,4.19,135,Stop Loss,12
2009-04-03,02:30:00,Friday,Buy,904.28,903.02,1.3,2.0,1.59,1,Stop Loss,1
2009-04-03,06:30:00,Friday,Buy,904.23,902.43,1.8,4.68,2.6,1,Stop Loss,1
2009-04-03,18:30:00,Friday,Sell,895.33,907.79,12.5,30.36,2.44,83,Stop Loss,12
2009-04-06,10:30:00,Monday,Buy,879.28,874.95,4.3,3.07,SL,1,Stop Loss,4
2009-04-06,14:30:00,Monday,Sell,870.54,882.55,12.0,5.05,SL,7,Stop Loss,12
2009-04-07,10:30:00,Tuesday,Sell,877.05,880.6,3.5,3.6,1.01,1,Stop Loss,3
2009-04-07,18:30:00,Tuesday,Buy,882.45,877.95,4.5,6.95,1.54,5,Stop Loss,4
