rr_threshold,net_score,lowest_drawdown,total_trades,quality_metric,file_path
1,856.7,-17,6283,503.9411764705883,../version_2_Level_1_filtered_results\rr_threshold_1\final_result_rr_1.csv
2,1250.6,-29,5654,431.2413793103448,../version_2_Level_1_filtered_results\rr_threshold_2\final_result_rr_2.csv
3,1515.2,-49,7768,309.2244897959184,../version_2_Level_1_filtered_results\rr_threshold_3\final_result_rr_3.csv
4,1928.7,-59,6133,326.89830508474574,../version_2_Level_1_filtered_results\rr_threshold_4\final_result_rr_4.csv
5,2208.2,-89,6278,248.11235955056176,../version_2_Level_1_filtered_results\rr_threshold_5\final_result_rr_5.csv
6,2543.9,-97,6291,262.25773195876286,../version_2_Level_1_filtered_results\rr_threshold_6\final_result_rr_6.csv
7,2892.8,-147,6912,196.78911564625852,../version_2_Level_1_filtered_results\rr_threshold_7\final_result_rr_7.csv
8,3061.2,-176,9138,173.93181818181816,../version_2_Level_1_filtered_results\rr_threshold_8\final_result_rr_8.csv
9,3312.6,-280,7834,118.30714285714285,../version_2_Level_1_filtered_results\rr_threshold_9\final_result_rr_9.csv
10,3710.3,-265,9357,140.011320754717,../version_2_Level_1_filtered_results\rr_threshold_10\final_result_rr_10.csv
11,4339.0,-187,10390,232.03208556149733,../version_2_Level_1_filtered_results\rr_threshold_11\final_result_rr_11.csv
12,4580.6,-275,9994,166.56727272727272,../version_2_Level_1_filtered_results\rr_threshold_12\final_result_rr_12.csv
13,5103.1,-203,10379,251.384236453202,../version_2_Level_1_filtered_results\rr_threshold_13\final_result_rr_13.csv
14,5747.7,-248,12393,231.76209677419354,../version_2_Level_1_filtered_results\rr_threshold_14\final_result_rr_14.csv
15,6077.0,-284,11770,213.97887323943664,../version_2_Level_1_filtered_results\rr_threshold_15\final_result_rr_15.csv
16,6427.0,-297,11590,216.39730639730638,../version_2_Level_1_filtered_results\rr_threshold_16\final_result_rr_16.csv
17,6825.7,-318,12073,214.64465408805032,../version_2_Level_1_filtered_results\rr_threshold_17\final_result_rr_17.csv
18,7286.7,-351,12203,207.5982905982906,../version_2_Level_1_filtered_results\rr_threshold_18\final_result_rr_18.csv
19,7576.3,-323,11967,234.56037151702787,../version_2_Level_1_filtered_results\rr_threshold_19\final_result_rr_19.csv
20,7938.5,-330,12275,240.56060606060606,../version_2_Level_1_filtered_results\rr_threshold_20\final_result_rr_20.csv
21,8432.6,-415,11214,203.1951807228916,../version_2_Level_1_filtered_results\rr_threshold_21\final_result_rr_21.csv
22,8487.8,-504,10872,168.40873015873012,../version_2_Level_1_filtered_results\rr_threshold_22\final_result_rr_22.csv
23,8600.9,-524,11381,164.13931297709922,../version_2_Level_1_filtered_results\rr_threshold_23\final_result_rr_23.csv
24,8949.2,-650,10978,137.68,../version_2_Level_1_filtered_results\rr_threshold_24\final_result_rr_24.csv
25,8981.0,-649,11170,138.38212634822804,../version_2_Level_1_filtered_results\rr_threshold_25\final_result_rr_25.csv
26,9242.7,-649,11013,142.4144838212635,../version_2_Level_1_filtered_results\rr_threshold_26\final_result_rr_26.csv
27,9525.2,-663,11068,143.66817496229262,../version_2_Level_1_filtered_results\rr_threshold_27\final_result_rr_27.csv
28,9898.0,-628,11170,157.61146496815286,../version_2_Level_1_filtered_results\rr_threshold_28\final_result_rr_28.csv
29,10203.6,-645,11124,158.1953488372093,../version_2_Level_1_filtered_results\rr_threshold_29\final_result_rr_29.csv
30,10950.0,-438,12140,250.0,../version_2_Level_1_filtered_results\rr_threshold_30\final_result_rr_30.csv
31,10874.0,-688,11700,158.05232558139534,../version_2_Level_1_filtered_results\rr_threshold_31\final_result_rr_31.csv
32,11127.6,-820,11634,135.70243902439026,../version_2_Level_1_filtered_results\rr_threshold_32\final_result_rr_32.csv
33,11508.1,-881,11329,130.62542565266742,../version_2_Level_1_filtered_results\rr_threshold_33\final_result_rr_33.csv
34,11857.6,-976,11334,121.49180327868852,../version_2_Level_1_filtered_results\rr_threshold_34\final_result_rr_34.csv
35,12075.0,-1050,11670,115.00000000000001,../version_2_Level_1_filtered_results\rr_threshold_35\final_result_rr_35.csv
36,12066.3,-1279,10827,94.34167318217357,../version_2_Level_1_filtered_results\rr_threshold_36\final_result_rr_36.csv
37,12425.8,-1340,10882,92.72985074626865,../version_2_Level_1_filtered_results\rr_threshold_37\final_result_rr_37.csv
38,12882.3,-1314,10767,98.03881278538812,../version_2_Level_1_filtered_results\rr_threshold_38\final_result_rr_38.csv
39,13147.5,-1361,10775,96.6017634092579,../version_2_Level_1_filtered_results\rr_threshold_39\final_result_rr_39.csv
40,13095.5,-1335,10645,98.09363295880149,../version_2_Level_1_filtered_results\rr_threshold_40\final_result_rr_40.csv
41,13379.9,-1304,10631,102.60659509202453,../version_2_Level_1_filtered_results\rr_threshold_41\final_result_rr_41.csv
42,13687.1,-1343,10699,101.9143708116158,../version_2_Level_1_filtered_results\rr_threshold_42\final_result_rr_42.csv
43,14074.5,-1418,10805,99.25599435825106,../version_2_Level_1_filtered_results\rr_threshold_43\final_result_rr_43.csv
44,14469.2,-1378,11228,105.00145137880988,../version_2_Level_1_filtered_results\rr_threshold_44\final_result_rr_44.csv
45,14675.2,-1314,10788,111.6834094368341,../version_2_Level_1_filtered_results\rr_threshold_45\final_result_rr_45.csv
