rr_threshold,net_score,max_losing_streak,total_trades,quality_metric,file_path
1,856.7,11,6283,778.8181818181819,../version_2_Level_1_filtered_results\rr_threshold_1\final_result_rr_1.csv
2,1250.6,14,5654,893.2857142857142,../version_2_Level_1_filtered_results\rr_threshold_2\final_result_rr_2.csv
3,1515.2,28,7768,541.1428571428572,../version_2_Level_1_filtered_results\rr_threshold_3\final_result_rr_3.csv
4,1928.7,30,6133,642.9,../version_2_Level_1_filtered_results\rr_threshold_4\final_result_rr_4.csv
5,2208.2,40,6278,552.05,../version_2_Level_1_filtered_results\rr_threshold_5\final_result_rr_5.csv
6,2543.9,47,6291,541.2553191489362,../version_2_Level_1_filtered_results\rr_threshold_6\final_result_rr_6.csv
7,2892.8,64,6912,452.0,../version_2_Level_1_filtered_results\rr_threshold_7\final_result_rr_7.csv
8,3061.2,98,9138,312.3673469387755,../version_2_Level_1_filtered_results\rr_threshold_8\final_result_rr_8.csv
9,3312.6,107,7834,309.58878504672896,../version_2_Level_1_filtered_results\rr_threshold_9\final_result_rr_9.csv
10,3710.3,97,9357,382.50515463917526,../version_2_Level_1_filtered_results\rr_threshold_10\final_result_rr_10.csv
11,4339.0,89,10390,487.5280898876404,../version_2_Level_1_filtered_results\rr_threshold_11\final_result_rr_11.csv
12,4580.6,100,9994,458.06000000000006,../version_2_Level_1_filtered_results\rr_threshold_12\final_result_rr_12.csv
13,5103.1,120,10379,425.2583333333333,../version_2_Level_1_filtered_results\rr_threshold_13\final_result_rr_13.csv
14,5747.7,138,12393,416.5,../version_2_Level_1_filtered_results\rr_threshold_14\final_result_rr_14.csv
15,6077.0,217,11770,280.04608294930875,../version_2_Level_1_filtered_results\rr_threshold_15\final_result_rr_15.csv
16,6427.0,214,11590,300.3271028037383,../version_2_Level_1_filtered_results\rr_threshold_16\final_result_rr_16.csv
17,6825.7,239,12073,285.5941422594142,../version_2_Level_1_filtered_results\rr_threshold_17\final_result_rr_17.csv
18,7286.7,189,12203,385.53968253968253,../version_2_Level_1_filtered_results\rr_threshold_18\final_result_rr_18.csv
19,7576.3,320,11967,236.759375,../version_2_Level_1_filtered_results\rr_threshold_19\final_result_rr_19.csv
20,7938.5,248,12275,320.10080645161287,../version_2_Level_1_filtered_results\rr_threshold_20\final_result_rr_20.csv
21,8432.6,190,11214,443.82105263157894,../version_2_Level_1_filtered_results\rr_threshold_21\final_result_rr_21.csv
22,8487.8,332,10872,255.65662650602408,../version_2_Level_1_filtered_results\rr_threshold_22\final_result_rr_22.csv
23,8600.9,346,11381,248.5809248554913,../version_2_Level_1_filtered_results\rr_threshold_23\final_result_rr_23.csv
24,8949.2,334,10978,267.9401197604791,../version_2_Level_1_filtered_results\rr_threshold_24\final_result_rr_24.csv
25,8981.0,348,11170,258.07471264367814,../version_2_Level_1_filtered_results\rr_threshold_25\final_result_rr_25.csv
26,9242.7,330,11013,280.0818181818182,../version_2_Level_1_filtered_results\rr_threshold_26\final_result_rr_26.csv
27,9525.2,331,11068,287.77039274924476,../version_2_Level_1_filtered_results\rr_threshold_27\final_result_rr_27.csv
28,9898.0,334,11170,296.34730538922156,../version_2_Level_1_filtered_results\rr_threshold_28\final_result_rr_28.csv
29,10203.6,334,11124,305.49700598802394,../version_2_Level_1_filtered_results\rr_threshold_29\final_result_rr_29.csv
30,10950.0,323,12140,339.0092879256966,../version_2_Level_1_filtered_results\rr_threshold_30\final_result_rr_30.csv
31,10874.0,322,11700,337.70186335403724,../version_2_Level_1_filtered_results\rr_threshold_31\final_result_rr_31.csv
32,11127.6,324,11634,343.44444444444446,../version_2_Level_1_filtered_results\rr_threshold_32\final_result_rr_32.csv
33,11508.1,314,11329,366.5,../version_2_Level_1_filtered_results\rr_threshold_33\final_result_rr_33.csv
34,11857.6,403,11334,294.2332506203474,../version_2_Level_1_filtered_results\rr_threshold_34\final_result_rr_34.csv
35,12075.0,318,11670,379.7169811320755,../version_2_Level_1_filtered_results\rr_threshold_35\final_result_rr_35.csv
36,12066.3,300,10827,402.21,../version_2_Level_1_filtered_results\rr_threshold_36\final_result_rr_36.csv
37,12425.8,304,10882,408.7434210526315,../version_2_Level_1_filtered_results\rr_threshold_37\final_result_rr_37.csv
38,12882.3,411,10767,313.4379562043796,../version_2_Level_1_filtered_results\rr_threshold_38\final_result_rr_38.csv
39,13147.5,408,10775,322.24264705882354,../version_2_Level_1_filtered_results\rr_threshold_39\final_result_rr_39.csv
40,13095.5,402,10645,325.7587064676617,../version_2_Level_1_filtered_results\rr_threshold_40\final_result_rr_40.csv
41,13379.9,402,10631,332.8333333333333,../version_2_Level_1_filtered_results\rr_threshold_41\final_result_rr_41.csv
42,13687.1,405,10699,337.95308641975305,../version_2_Level_1_filtered_results\rr_threshold_42\final_result_rr_42.csv
43,14074.5,411,10805,342.44525547445255,../version_2_Level_1_filtered_results\rr_threshold_43\final_result_rr_43.csv
44,14469.2,424,11228,341.2547169811321,../version_2_Level_1_filtered_results\rr_threshold_44\final_result_rr_44.csv
45,14675.2,401,10788,365.96508728179555,../version_2_Level_1_filtered_results\rr_threshold_45\final_result_rr_45.csv
46,15084.0,557,10770,270.8078994614004,../version_2_Level_1_filtered_results\rr_threshold_46\final_result_rr_46.csv
47,15310.3,576,10867,265.80381944444446,../version_2_Level_1_filtered_results\rr_threshold_47\final_result_rr_47.csv
48,15528.6,576,10784,269.59375,../version_2_Level_1_filtered_results\rr_threshold_48\final_result_rr_48.csv
49,15887.6,576,10784,275.8263888888889,../version_2_Level_1_filtered_results\rr_threshold_49\final_result_rr_49.csv
50,16204.1,575,10769,281.8104347826087,../version_2_Level_1_filtered_results\rr_threshold_50\final_result_rr_50.csv
51,16596.2,577,10818,287.62911611785097,../version_2_Level_1_filtered_results\rr_threshold_51\final_result_rr_51.csv
52,16768.9,602,11111,278.55315614617945,../version_2_Level_1_filtered_results\rr_threshold_52\final_result_rr_52.csv
53,17195.0,605,11270,284.21487603305786,../version_2_Level_1_filtered_results\rr_threshold_53\final_result_rr_53.csv
54,17278.8,607,11292,284.658978583196,../version_2_Level_1_filtered_results\rr_threshold_54\final_result_rr_54.csv
55,17396.1,607,11269,286.59143327841844,../version_2_Level_1_filtered_results\rr_threshold_55\final_result_rr_55.csv
56,17494.7,593,11093,295.0202360876897,../version_2_Level_1_filtered_results\rr_threshold_56\final_result_rr_56.csv
57,17700.2,580,10958,305.1758620689655,../version_2_Level_1_filtered_results\rr_threshold_57\final_result_rr_57.csv
58,18096.7,578,10903,313.09169550173016,../version_2_Level_1_filtered_results\rr_threshold_58\final_result_rr_58.csv
59,18317.7,578,10893,316.91522491349485,../version_2_Level_1_filtered_results\rr_threshold_59\final_result_rr_59.csv
60,18529.7,589,10993,314.59592529711375,../version_2_Level_1_filtered_results\rr_threshold_60\final_result_rr_60.csv
61,18845.0,590,11050,319.40677966101697,../version_2_Level_1_filtered_results\rr_threshold_61\final_result_rr_61.csv
62,19144.3,608,11347,314.87335526315786,../version_2_Level_1_filtered_results\rr_threshold_62\final_result_rr_62.csv
63,19390.3,609,11347,318.39573070607554,../version_2_Level_1_filtered_results\rr_threshold_63\final_result_rr_63.csv
64,19795.7,609,11313,325.05254515599347,../version_2_Level_1_filtered_results\rr_threshold_64\final_result_rr_64.csv
65,19984.8,609,11292,328.1576354679803,../version_2_Level_1_filtered_results\rr_threshold_65\final_result_rr_65.csv
66,20244.1,609,11259,332.41543513957305,../version_2_Level_1_filtered_results\rr_threshold_66\final_result_rr_66.csv
67,20540.5,609,11185,337.2824302134647,../version_2_Level_1_filtered_results\rr_threshold_67\final_result_rr_67.csv
68,20825.6,638,11114,326.4200626959247,../version_2_Level_1_filtered_results\rr_threshold_68\final_result_rr_68.csv
69,21024.6,907,11114,231.80374862183018,../version_2_Level_1_filtered_results\rr_threshold_69\final_result_rr_69.csv
70,21139.8,923,11312,229.03358613217767,../version_2_Level_1_filtered_results\rr_threshold_70\final_result_rr_70.csv
71,21161.0,919,11330,230.26115342763873,../version_2_Level_1_filtered_results\rr_threshold_71\final_result_rr_71.csv
72,21555.0,919,11330,234.54842219804135,../version_2_Level_1_filtered_results\rr_threshold_72\final_result_rr_72.csv
73,21873.0,919,11330,238.00870511425464,../version_2_Level_1_filtered_results\rr_threshold_73\final_result_rr_73.csv
74,22262.0,919,11330,242.24156692056584,../version_2_Level_1_filtered_results\rr_threshold_74\final_result_rr_74.csv
75,22345.0,919,11330,243.14472252448314,../version_2_Level_1_filtered_results\rr_threshold_75\final_result_rr_75.csv
76,22577.5,919,11325,245.67464635473343,../version_2_Level_1_filtered_results\rr_threshold_76\final_result_rr_76.csv
77,22885.3,919,11317,249.02393906420022,../version_2_Level_1_filtered_results\rr_threshold_77\final_result_rr_77.csv
78,23137.6,1027,11284,225.29308666017528,../version_2_Level_1_filtered_results\rr_threshold_78\final_result_rr_78.csv
79,23407.0,1023,11230,228.80742913000978,../version_2_Level_1_filtered_results\rr_threshold_79\final_result_rr_79.csv
80,23695.0,1010,11080,234.6039603960396,../version_2_Level_1_filtered_results\rr_threshold_80\final_result_rr_80.csv
81,23898.6,1010,11074,236.61980198019802,../version_2_Level_1_filtered_results\rr_threshold_81\final_result_rr_81.csv
82,24096.2,1013,11068,237.86969397828233,../version_2_Level_1_filtered_results\rr_threshold_82\final_result_rr_82.csv
