date,type,entry,stop_loss,distance,max_profit,reward_risk
2009-02-24 22:30:00,Buy,963.5,962.15,1.35,3.86,2.86
2009-02-25 02:30:00,Buy,965.25,960.15,5.1,0.99,0.19
2009-02-25 06:30:00,Sell,957.2,966.44,9.24,5.55,0.6
2009-02-25 10:30:00,Buy,959.83,951.45,8.38,18.44,2.2
2009-02-25 14:30:00,Buy,974.13,955.7,18.43,3.02,0.16
2009-02-25 18:30:00,Sell,948.9,977.35,28.45,65.0,2.28
2009-02-25 22:30:00,Buy,953.2,944.58,8.62,3.78,0.44
2009-02-26 02:30:00,Sell,952.73,956.98,4.25,10.35,2.44
2009-02-26 06:30:00,Buy,953.53,945.43,8.1,3.45,0.43
2009-02-26 10:30:00,Sell,946.87,957.18,10.31,14.67,1.42
2009-02-26 14:30:00,Sell,933.88,947.75,13.87,0.0,0.0
2009-02-26 18:30:00,Buy,943.42,934.08,9.34,19.75,2.11
2009-02-26 22:30:00,Buy,948.2,943.4,4.8,0.0,0.0
2009-02-27 02:30:00,Sell,939.16,945.58,6.42,2.28,0.36
2009-02-27 06:30:00,Buy,944.83,936.68,8.15,18.34,2.25
2009-02-27 10:30:00,Buy,947.82,940.83,6.99,15.35,2.2
2009-02-27 14:30:00,Buy,950.65,947.0,3.65,2.09,0.57
2009-02-27 18:30:00,Sell,939.28,952.94,13.66,0.25,0.02
2009-02-27 22:30:00,Buy,942.55,938.83,3.72,15.96,4.29
2009-03-02 02:30:00,Buy,951.85,947.85,4.0,6.66,1.66
2009-03-02 06:30:00,Buy,956.5,950.76,5.74,2.01,0.35
2009-03-02 10:30:00,Sell,949.71,958.71,9.0,65.81,7.31
2009-03-02 14:30:00,Sell,932.73,952.12,19.39,48.83,2.52
2009-03-02 18:30:00,Buy,933.78,931.06,2.72,0.0,0.0
2009-03-02 22:30:00,Sell,927.51,933.61,6.1,27.21,4.46
2009-03-03 02:30:00,Sell,926.08,933.13,7.05,25.78,3.66
2009-03-03 06:30:00,Sell,923.15,930.45,7.3,22.85,3.13
2009-03-03 10:30:00,Sell,922.5,927.33,4.83,16.97,3.51
2009-03-03 14:30:00,Sell,909.72,929.63,19.91,9.42,0.47
2009-03-03 18:30:00,Buy,915.38,905.55,9.83,7.52,0.77
2009-03-03 22:30:00,Buy,916.35,913.71,2.64,1.43,0.54
2009-03-04 02:30:00,Sell,913.12,917.98,4.86,6.47,1.33
2009-03-04 06:30:00,Buy,913.9,910.65,3.25,3.57,1.1
2009-03-04 10:30:00,Sell,911.68,917.67,5.99,3.15,0.53
2009-03-04 14:30:00,Buy,914.38,908.33,6.05,1.02,0.17
2009-03-04 18:30:00,Sell,905.33,915.6,10.27,2.28,0.22
2009-03-04 22:30:00,Buy,906.0,902.85,3.15,38.9,12.35
2009-03-05 02:30:00,Buy,911.7,908.93,2.77,7.07,2.55
2009-03-05 06:30:00,Buy,912.28,910.63,1.65,6.49,3.93
2009-03-05 10:30:00,Buy,916.92,910.85,6.07,1.85,0.3
2009-03-05 14:30:00,Sell,915.07,918.97,3.9,3.08,0.79
2009-03-05 18:30:00,Buy,931.3,911.79,19.51,13.6,0.7
2009-03-05 22:30:00,Buy,932.49,928.64,3.85,12.41,3.22
2009-03-06 02:30:00,Buy,935.85,930.59,5.26,9.05,1.72
2009-03-06 06:30:00,Buy,938.85,934.85,4.0,5.55,1.39
2009-03-06 10:30:00,Sell,937.58,942.55,4.97,6.87,1.38
2009-03-06 14:30:00,Buy,942.54,930.51,12.03,2.36,0.2
2009-03-06 18:30:00,Sell,940.39,945.1,4.71,56.49,11.99
2009-03-06 22:30:00,Sell,939.15,942.41,3.26,55.25,16.95
2009-03-09 01:30:00,Sell,938.88,942.44,3.56,54.98,15.44
2009-03-09 05:30:00,Sell,936.33,939.39,3.06,3.55,1.16
2009-03-09 09:30:00,Buy,937.8,932.58,5.22,2.38,0.46
2009-03-09 13:30:00,Sell,935.66,940.38,4.72,51.76,10.97
2009-03-09 17:30:00,Sell,914.79,936.34,21.55,23.46,1.09
2009-03-09 21:30:00,Buy,922.17,911.35,10.82,0.82,0.08
2009-03-10 01:30:00,Sell,916.77,923.19,6.42,25.44,3.96
2009-03-10 05:30:00,Buy,917.28,912.77,4.51,0.27,0.06
2009-03-10 09:30:00,Sell,909.83,917.75,7.92,18.5,2.34
2009-03-10 13:30:00,Sell,907.14,916.27,9.13,15.81,1.73
2009-03-10 17:30:00,Sell,894.21,907.94,13.73,1.56,0.11
2009-03-10 21:30:00,Buy,898.35,893.76,4.59,0.82,0.18
2009-03-11 01:30:00,Sell,894.43,899.37,4.94,0.03,0.01
2009-03-11 05:30:00,Buy,897.7,894.2,3.5,41.0,11.71
2009-03-11 09:30:00,Buy,901.03,896.7,4.33,3.25,0.75
2009-03-11 13:30:00,Sell,896.14,904.48,8.34,0.26,0.03
2009-03-11 17:30:00,Buy,909.63,895.68,13.95,29.07,2.08
2009-03-11 21:30:00,Buy,909.6,902.75,6.85,29.1,4.25
2009-03-12 01:30:00,Buy,909.89,905.75,4.14,28.81,6.96
2009-03-12 05:30:00,Buy,913.33,909.2,4.13,17.47,4.23
2009-03-12 09:30:00,Sell,911.38,916.45,5.07,4.26,0.84
2009-03-12 13:30:00,Buy,926.49,906.92,19.57,12.21,0.62
