date,time,day_of_week,type,entry,stop_loss,distance,max_profit,reward_risk
2009.02.24,22:30,Tuesday,Buy,963.5,962.15,1.35,-0.2,SL
2009.02.25,02:30,Wednesday,Buy,965.25,960.15,5.1,-0.77,SL
2009.02.25,14:30,Wednesday,Buy,974.13,955.7,18.43,-2.74,SL
2009.02.25,18:30,Wednesday,Sell,948.9,977.35,28.45,4.34,1
2009.02.26,22:30,Thursday,Buy,948.2,943.4,4.8,-0.73,SL
2009.02.27,14:30,Friday,Buy,950.65,947.0,3.65,-0.56,SL
2009.02.27,22:30,Friday,Buy,942.55,938.83,3.72,0.57,1
2009.03.02,02:30,Monday,Buy,951.85,947.85,4.0,0.61,1
2009.03.03,14:30,Tuesday,Sell,909.72,929.63,19.91,-3.17,SL
2009.03.05,06:30,Thursday,Buy,912.28,910.63,1.65,0.26,1
2009.03.05,18:30,Thursday,Buy,931.3,911.79,19.51,-3.04,SL
2009.03.05,22:30,Thursday,Buy,932.49,928.64,3.85,0.6,1
2009.03.06,02:30,Friday,Buy,935.85,930.59,5.26,0.81,1
2009.03.06,06:30,Friday,Buy,938.85,934.85,4.0,-0.62,SL
2009.03.06,22:30,Friday,Sell,939.15,942.41,3.26,0.5,1
2009.03.09,05:30,Monday,Sell,936.33,939.39,3.06,-0.47,SL
2009.03.09,09:30,Monday,Buy,937.8,932.58,5.22,-0.81,SL
2009.03.09,21:30,Monday,Buy,922.17,911.35,10.82,-1.7,SL
2009.03.10,05:30,Tuesday,Buy,917.28,912.77,4.51,-0.71,SL
2009.03.10,21:30,Tuesday,Buy,898.35,893.76,4.59,-0.74,SL
2009.03.11,05:30,Wednesday,Buy,897.7,894.2,3.5,0.56,1
2009.03.11,09:30,Wednesday,Buy,901.03,896.7,4.33,-0.7,SL
2009.03.12,05:30,Thursday,Buy,913.33,909.2,4.13,-0.65,SL
2009.03.12,13:30,Thursday,Buy,926.49,906.92,19.57,-3.06,SL
2009.03.16,17:30,Monday,Buy,923.33,917.85,5.48,-0.86,SL
2009.03.17,05:30,Tuesday,Sell,920.9,923.62,2.72,-0.43,SL
2009.03.18,21:30,Wednesday,Buy,942.2,891.93,50.27,-7.72,SL
2009.03.19,17:30,Thursday,Buy,956.55,945.25,11.3,-1.71,SL
2009.03.20,17:30,Friday,Sell,956.64,959.6,2.96,0.45,1
